#,Team,Name,Average Sofascore rating,Goals,Big chances missed,Succ. dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %
146,Pharco FC,Mahmoud Hamada,6.88,3,0,18,51.43,17,5,8,4,17.65,0,0,0,1,0,2,1,1,1,1,0,4,0.0,0.0
147,Al-Masry,Amr Moussa,6.88,0,0,6,60.0,5,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
148,Modern Future FC,Omar Kamal,6.88,3,0,19,54.29,17,4,5,8,17.65,0,0,0,0,0,3,0,1,0,2,0,5,0.0,0.0
149,Al Ahly FC,Taher Mohamed,6.88,3,1,14,35.9,20,8,10,2,15.0,1,1,1,1,0,3,0,0,1,2,0,2,100.0,0.0
150,ENPPI,Ahmed Sebiha,6.88,0,0,3,100.0,4,0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
151,Al Ahly FC,Mohamed Sherif,6.88,11,8,12,54.55,58,25,20,13,18.97,0,0,0,1,0,11,0,2,3,6,1,33,0.0,0.0
152,Haras El Hedoud,Islam Abdallah,6.88,1,0,1,20.0,3,1,1,1,33.33,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
153,Ismaily,Mohamed Nasr,6.88,0,0,3,100.0,3,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
154,National Bank of Egypt,Mohamed Fathi,6.87,1,0,9,81.82,14,3,6,5,7.14,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
155,Modern Future FC,Saad Samir,6.87,0,0,3,50.0,1,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
156,National Bank of Egypt,Saidou Simpore,6.87,1,0,5,83.33,7,2,2,3,14.29,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
157,Al-Mokawloon,Luis Hinestroza,6.87,0,3,13,35.14,17,6,8,3,0.0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0
158,Pyramids FC,Fagrie Lakay,6.87,10,8,13,46.43,48,19,18,11,20.83,3,2,0,1,0,9,1,0,0,10,1,13,66.67,0.0
159,El Dakhlya,Funom Alfred,6.87,2,0,3,75.0,3,2,1,0,66.67,0,0,0,0,0,2,0,0,0,2,0,1,0.0,0.0
160,Pharco FC,Mohamed Saeed Shika,6.86,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
161,Ghazl El Mahalla,Gabriel Orok Ibitham,6.86,4,4,40,41.24,53,18,27,8,7.55,0,0,0,5,0,1,3,0,0,4,2,17,0.0,0.0
162,Al-Ittihad Alexandria,Khaled Sobhi,6.86,2,0,4,66.67,10,2,7,1,20.0,0,0,0,0,0,2,0,0,1,1,2,0,0.0,0.0
163,Al-Mokawloon,Fady Farid,6.86,2,3,16,76.19,35,12,16,7,5.71,0,0,3,0,0,2,0,1,0,1,0,9,0.0,0.0
164,Aswan SC,Hossam Arafat,6.86,2,1,4,36.36,13,5,5,3,15.38,0,0,0,0,0,1,1,1,0,1,1,4,0.0,0.0
165,Tala'ea El-Gaish,Mohamed Shehata,6.86,1,0,11,61.11,24,8,12,4,4.17,0,0,0,0,0,1,0,0,1,0,0,2,0.0,0.0
166,Aswan SC,Ahmed Dahroug,6.86,0,0,8,57.14,2,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
167,Tala'ea El-Gaish,Karim Tarek,6.85,6,1,36,46.15,54,18,22,14,11.11,0,0,0,0,0,5,1,0,3,3,0,16,0.0,0.0
168,Modern Future FC,Mohamed Reda,6.85,4,2,40,48.19,36,12,19,5,11.11,4,2,1,2,0,3,1,0,0,4,2,0,50.0,0.0
169,Smouha,Yehia Yasser,6.85,0,0,2,50.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
170,Al-Mokawloon,Mohamed Rizk,6.85,0,1,2,66.67,8,1,4,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
171,Ismaily,Yaw Annor,6.85,7,7,31,55.36,48,16,23,9,14.58,0,0,0,0,0,6,1,0,2,5,1,11,0.0,0.0
172,Pharco FC,Shokry Naguib,6.85,2,2,24,66.67,48,19,12,17,4.17,0,0,0,1,0,2,0,0,1,1,1,11,0.0,0.0
173,Pharco FC,Saif Thierry,6.84,3,0,8,53.33,7,3,2,2,42.86,0,0,0,0,0,3,0,1,0,2,0,1,0.0,0.0
174,Smouha,Mostafa Saad,6.84,2,1,32,57.14,20,7,7,6,10.0,0,0,1,1,0,1,1,0,2,0,0,7,0.0,0.0
175,El Dakhlya,Allan Kyambadde,6.84,2,0,17,68.0,11,2,6,3,18.18,0,0,1,0,0,2,0,1,0,1,1,2,0.0,0.0
176,Ismaily,Emad Hamdi,6.84,1,1,7,63.64,8,2,3,3,12.5,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0.0
177,Ceramica Cleopatra,Ahmed Ramadan,6.84,1,1,11,42.31,12,7,3,2,8.33,0,0,0,0,0,1,0,1,0,0,1,1,0.0,0.0
178,Al-Masry,Marwan Hamdy,6.84,6,6,26,49.06,70,28,26,16,8.57,0,0,2,3,0,6,0,2,2,2,0,35,0.0,0.0
179,Ceramica Cleopatra,Amr Kalawa,6.84,2,0,5,50.0,12,4,5,3,16.67,0,0,0,0,0,1,1,1,0,1,0,0,0.0,0.0
180,Tala'ea El-Gaish,Ahmed Meteb,6.84,2,1,20,40.0,13,4,4,5,15.38,0,0,2,2,0,1,0,0,1,0,1,9,0.0,0.0
181,Aswan SC,Mohamed Morsi,6.83,1,0,4,26.67,9,4,3,2,11.11,0,0,0,0,0,1,0,0,1,0,0,3,0.0,0.0
182,Al Ahly FC,Karim Eldbees,6.83,0,0,3,75.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
183,Zamalek SC,Naser Mansi,6.83,4,1,4,30.77,35,13,15,7,11.43,0,0,2,0,0,4,0,1,1,2,2,21,0.0,0.0
184,Al-Mokawloon,Joseph Ochaya,6.83,7,0,12,37.5,43,12,17,14,16.28,2,2,0,4,0,7,0,3,4,0,1,10,100.0,0.0
185,Tala'ea El-Gaish,Mohamed Camacho,6.83,1,3,6,66.67,11,1,9,1,9.09,0,0,0,0,0,1,0,1,0,0,0,1,0.0,0.0
186,Tala'ea El-Gaish,Mostafa Khawaga,6.83,1,1,7,63.64,20,8,7,5,5.0,0,0,0,0,0,0,1,0,0,1,1,0,0.0,0.0
187,Ismaily,Saleh Gomaa,6.83,0,0,4,50.0,9,1,5,3,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0
188,Al-Masry,Mahmoud Gad,6.82,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
189,Aswan SC,Ahmed Castelo,6.82,0,0,1,20.0,7,1,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
190,Smouha,Mohamed Essam Emara,6.82,3,0,22,62.86,15,3,8,4,20.0,0,0,0,0,0,3,0,1,0,2,0,1,0.0,0.0
191,Pyramids FC,Ahmed Tawfik,6.82,0,0,8,36.36,11,3,5,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
192,El Dakhlya,Emad El-Sayed,6.82,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
193,Modern Future FC,Ghanam Mohamed,6.82,1,0,9,47.37,18,4,7,7,5.56,0,0,0,0,0,0,1,0,0,1,0,2,0.0,0.0
194,Pharco FC,Ali Baheeg,6.82,1,0,2,50.0,4,2,2,0,25.0,0,0,0,0,0,1,0,0,1,0,0,3,0.0,0.0
195,Modern Future FC,Mahmoud Shaaban,6.82,0,0,3,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
196,Aswan SC,Ahmed Khaled,6.82,1,1,35,55.56,30,4,16,10,3.33,2,0,0,0,0,1,0,0,1,0,1,2,0.0,0.0
197,Zamalek SC,Seifeddine Jaziri,6.81,7,2,10,24.39,49,18,25,6,14.29,0,0,1,0,0,7,0,3,1,3,2,6,0.0,0.0
198,Ismaily,Mohamed Makhlouf,6.81,1,0,7,77.78,8,2,5,1,12.5,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
199,Pharco FC,Ahmed El Bahrawy,6.81,0,0,11,68.75,6,1,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
200,Haras El Hedoud,Khaled Sami,6.81,0,0,0,0.0,4,1,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
201,National Bank of Egypt,Issahaku Yakubu,6.81,0,0,17,38.64,5,2,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
202,Zamalek SC,Mohamed Ashraf Roqa,6.81,0,0,3,37.5,20,5,5,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
203,Ceramica Cleopatra,Ahmed El Armouty,6.81,1,0,9,52.94,19,6,10,3,5.26,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
204,Modern Future FC,Mahmoud Rizk,6.81,0,0,0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
205,Pyramids FC,Mahmoud Dunga,6.81,0,0,2,50.0,4,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
206,Ceramica Cleopatra,Mido Gaber,6.81,2,5,30,46.15,64,19,25,20,3.13,0,0,0,3,0,2,0,1,1,0,2,13,0.0,0.0
207,Ghazl El Mahalla,Mahmoud El Hadary,6.81,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
208,Al-Mokawloon,Mamadou Niass,6.81,2,0,9,34.62,30,8,16,6,6.67,0,0,0,0,0,2,0,1,1,0,2,15,0.0,0.0
209,Pharco FC,Ahmed Abdelaziz Mody,6.81,2,0,2,50.0,3,3,0,0,66.67,2,2,0,0,0,2,0,0,2,0,0,0,100.0,0.0
210,Tala'ea El-Gaish,Ahmed Abdel Rahman Zola,6.81,1,0,26,70.27,9,4,2,3,11.11,0,0,0,0,0,1,0,1,0,0,0,2,0.0,0.0
211,Haras El Hedoud,Mostafa Ziko,6.80,6,5,33,40.24,75,34,31,10,8.0,2,2,0,5,0,6,0,0,1,5,0,9,100.0,0.0
212,El Dakhlya,Abdelrahman El Banouby,6.80,3,6,23,47.92,25,14,5,6,12.0,0,0,0,0,0,3,0,0,1,2,0,2,0.0,0.0
213,Zamalek SC,Amr El Sisi,6.80,2,0,1,20.0,10,4,6,0,20.0,0,0,0,0,0,2,0,0,1,1,0,0,0.0,0.0
214,Ismaily,Marwan Hamdi,6.80,0,0,2,33.33,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
215,El Dakhlya,Mohab Yasser,6.80,0,0,2,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
216,Ceramica Cleopatra,Samuel Amadi,6.80,0,0,3,100.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
217,Ismaily,Mohamed Abdelsamia,6.80,0,0,6,46.15,7,2,1,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
218,Al-Masry,Zyad Farag,6.80,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
219,ENPPI,Seif Elkhashab,6.80,0,0,0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
220,Al Ahly FC,Mohamed Fakhry,6.80,0,0,5,45.45,5,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
221,Al-Ittihad Alexandria,Salifu Moro,6.80,0,2,13,56.52,28,2,20,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
222,Al-Masry,Emeka Eze,6.80,0,1,13,59.09,14,0,9,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
223,Al-Masry,Mohamed Grendo,6.80,9,6,16,30.77,51,20,24,7,17.65,4,4,2,0,0,9,0,0,1,8,0,13,100.0,0.0
224,Ismaily,Mohamed Hashem,6.80,0,0,2,66.67,6,0,3,3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
225,Al-Masry,Amr Saadawy,6.80,1,0,13,41.94,7,2,2,3,14.29,0,0,0,1,0,1,0,0,1,0,1,2,0.0,0.0
226,Al-Masry,Karim El Eraki,6.79,0,0,6,37.5,7,2,4,1,0.0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
227,Al-Ittihad Alexandria,Mohammed Saleh,6.79,0,0,2,100.0,4,0,3,1,0.0,0,0,0,2,0,0,0,0,0,0,1,2,0.0,0.0
228,El Dakhlya,Rasheed Ahmed,6.79,5,6,7,36.84,42,11,23,8,11.9,0,0,3,0,0,5,0,1,0,4,2,12,0.0,0.0
229,ENPPI,Emad Mayhoub,6.79,0,0,1,6.25,13,5,6,2,0.0,0,0,1,0,0,0,0,0,0,0,2,1,0.0,0.0
230,Pharco FC,Kingsley Sokari,6.79,1,0,17,65.38,11,3,6,2,9.09,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0
231,ENPPI,Khaled Reda,6.79,0,0,3,100.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
232,Al Ahly FC,Ahmed Kendouci,6.79,0,1,12,50.0,12,4,5,3,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
233,Ismaily,Mohamed Bayoumi,6.79,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
234,Tala'ea El-Gaish,Mohamed Shaaban,6.78,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
235,Modern Future FC,Abdelkabir El Ouady,6.78,3,4,17,43.59,31,8,12,11,9.68,0,0,1,0,0,3,0,0,0,3,0,10,0.0,0.0
236,Al-Mokawloon,John Okoli,6.78,9,9,23,41.82,75,37,21,17,12.0,1,1,0,0,0,9,0,2,2,5,2,29,100.0,0.0
237,Smouha,El-Hani Soliman,6.78,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
238,Ismaily,Karim El Deeb,6.78,0,1,22,68.75,9,1,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
239,Ceramica Cleopatra,Mohamed Metwally Canaria,6.78,0,2,17,48.57,16,7,8,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
240,Ceramica Cleopatra,Mohamed Nassef,6.78,0,0,0,0.0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
241,Ceramica Cleopatra,Constant Wayou,6.78,0,0,6,85.71,4,1,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
242,Al-Masry,Amro Tarek,6.78,0,0,0,0.0,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
243,Smouha,Ahmed Hakam,6.77,1,0,0,0.0,11,3,5,3,9.09,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
244,Al-Mokawloon,Mohamed Magli,6.77,0,0,8,66.67,7,2,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
245,Al-Ittihad Alexandria,Mahmoud Abdel-Aziz,6.77,0,0,3,42.86,9,3,3,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
246,Pharco FC,Amr Gamal,6.77,3,1,12,48.0,40,12,20,8,7.5,0,0,1,2,0,2,1,1,0,2,2,10,0.0,0.0
247,Tala'ea El-Gaish,Islam Mohareb,6.77,4,1,11,50.0,21,10,3,8,19.05,0,0,0,0,0,4,0,2,0,2,0,0,0.0,0.0
248,Al Ahly FC,Ahmed Nabil Koka,6.77,0,0,3,37.5,3,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
249,Al Ahly FC,Percy Tau,6.77,3,9,17,47.22,36,13,16,7,8.33,0,0,0,1,0,3,0,0,2,1,1,3,0.0,0.0
250,National Bank of Egypt,Ahmed El Aash,6.77,0,0,3,75.0,3,0,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
251,Modern Future FC,Ahmed Atef,6.77,4,1,7,30.43,20,8,10,2,20.0,0,0,1,0,0,4,0,0,1,3,1,12,0.0,0.0
252,Pyramids FC,Fakhreddine Ben Youssef,6.77,4,4,2,28.57,30,10,14,6,13.33,1,1,0,0,0,4,0,1,1,2,0,4,100.0,0.0
253,Al-Ittihad Alexandria,Ibrahim Hassan,6.77,3,2,11,22.92,42,10,17,15,7.14,0,0,0,3,0,3,0,1,1,1,1,6,0.0,0.0
254,ENPPI,Ahmed Youssef,6.77,1,0,5,83.33,16,3,9,4,6.25,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
255,Al-Mokawloon,Louay Wael,6.77,1,0,0,0.0,1,1,0,0,100.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
256,Pharco FC,Jefferson Encada,6.77,0,0,21,53.85,8,3,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
257,Al-Ittihad Alexandria,Sobhy Soliman,6.77,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
258,Ceramica Cleopatra,Mohamed Ibrahim,6.76,3,1,40,44.44,17,5,7,5,17.65,3,3,0,0,0,3,0,0,0,3,0,6,100.0,0.0
259,Al Ahly FC,Shady Hussein,6.76,1,2,5,35.71,19,6,9,4,5.26,0,0,1,0,0,1,0,0,0,1,1,6,0.0,0.0
260,Al-Ittihad Alexandria,Ammar Hamdy,6.76,1,0,5,45.45,6,1,3,2,16.67,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0
261,National Bank of Egypt,Karim Bambo,6.76,9,12,19,44.19,53,22,23,8,16.98,3,2,2,0,0,8,0,1,1,6,1,22,66.67,0.0
262,Pharco FC,Ahmed Awad,6.76,0,0,1,50.0,4,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
263,Al-Mokawloon,Mohamed Salem,6.75,2,2,2,50.0,16,7,7,2,12.5,0,0,0,0,0,2,0,0,1,1,0,8,0.0,0.0
264,Aswan SC,Malick Evouna,6.75,2,1,4,66.67,8,3,2,3,25.0,1,1,1,0,0,2,0,0,0,2,0,1,100.0,0.0
265,Al-Masry,Hossam Greisha,6.75,0,0,14,60.87,3,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
266,Aswan SC,Mustafa Anani,6.75,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
267,Al-Masry,Mohamed El Fayoumi,6.75,0,0,3,75.0,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
268,Pyramids FC,Hesham Mohamed,6.75,0,0,1,100.0,3,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
269,Tala'ea El-Gaish,Omar Radwan,6.75,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
270,Zamalek SC,Shikabala,6.75,2,0,6,33.33,17,6,5,6,11.76,0,0,0,0,0,2,0,0,2,0,1,2,0.0,0.0
271,El Dakhlya,Mostafa Fawzy,6.75,3,2,0,0.0,23,11,9,3,13.04,0,0,0,0,0,3,0,1,0,2,0,4,0.0,0.0
272,National Bank of Egypt,Mahmoud Sayed,6.75,1,0,10,52.63,14,5,8,1,7.14,0,0,0,0,0,1,0,1,0,0,0,3,0.0,0.0
273,Tala'ea El-Gaish,Hassan Magdy,6.74,0,0,2,28.57,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
274,El Dakhlya,Ali El Zahdi,6.74,1,1,9,45.0,15,6,6,3,6.67,0,0,0,0,0,1,0,0,0,0,0,3,0.0,0.0
275,Smouha,Dokou Dodo,6.74,0,0,11,45.83,16,2,9,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
276,Ghazl El Mahalla,Ahmed Mayhoub,6.74,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
277,ENPPI,Mohamed Hamed,6.74,0,0,1,50.0,7,2,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
278,Ismaily,Karim Arafat,6.74,0,0,3,27.27,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
279,Smouha,Sodiq Awujoola,6.74,4,5,37,52.86,35,12,16,7,11.43,2,0,0,0,0,4,0,0,1,3,1,4,0.0,0.0
280,Ceramica Cleopatra,Mahmoud Bolbol Nabil,6.74,0,0,2,50.0,4,2,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
281,Zamalek SC,Hatem Mohamed,6.74,0,0,9,52.94,4,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
282,El Dakhlya,Mahmoud Talaat,6.74,0,1,16,57.14,15,3,9,3,0.0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,0.0
283,El Dakhlya,Kelechi Chimezie,6.74,0,0,4,44.44,24,2,15,7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
284,Al-Mokawloon,Amir Abed,6.74,0,0,2,40.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
285,Pharco FC,Mohamed Ahmed Fouad,6.74,1,2,16,57.14,19,5,10,4,5.26,0,0,0,2,0,1,0,0,0,1,2,0,0.0,0.0
286,Ghazl El Mahalla,Ehab Samir,6.73,0,0,15,57.69,18,6,6,6,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
287,Aswan SC,Amr Hossam,6.73,0,0,2,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
288,El Dakhlya,Ahmed Sayed Abdelnaby,6.73,0,0,10,41.67,5,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
289,Al-Mokawloon,Ahmed Fawzi,6.73,0,0,5,62.5,5,0,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
290,National Bank of Egypt,Ahmed Said,6.73,0,0,2,100.0,3,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
291,Smouha,Benjamin Bernard Boateng,6.73,7,2,23,41.82,34,11,20,3,20.59,0,0,0,0,0,7,0,0,4,3,1,6,0.0,0.0
292,Aswan SC,Dilson,6.73,4,8,7,35.0,44,17,21,6,9.09,0,0,1,0,0,4,0,4,0,0,3,18,0.0,0.0
293,Pyramids FC,Dodo El Gabas,6.73,1,0,0,0.0,10,3,2,5,10.0,0,0,0,0,0,1,0,0,0,1,0,2,0.0,0.0
294,ENPPI,Ahmed Eid,6.73,0,0,6,46.15,6,0,4,2,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
295,Ghazl El Mahalla,Mohamed Bazoka,6.73,0,0,5,83.33,13,5,6,2,0.0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.0
