#,Team,Name,Average Sofascore rating,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Errors lead to shot,Own goals,Dribbled past,Clean sheets
1,Al Ahly FC,Akram Tawfik,7.66,50,22,0,4,0,0,0,6,4
2,Al Ahly FC,Ali Maâloul,7.55,38,19,0,18,0,0,0,21,16
3,Haras El Hedoud,Karim Emad,7.50,0,0,0,7,0,0,0,0,0
4,Zamalek SC,Zizo,7.37,17,12,0,2,0,0,0,11,14
5,Pyramids FC,Mohamed Chibi,7.33,16,22,0,32,1,0,0,8,11
6,Al-Masry,Hossam Hassan,7.30,2,0,0,0,0,0,0,0,0
7,Pyramids FC,Osama Galal,7.29,29,21,0,40,0,0,0,8,6
8,Zamalek SC,Emam Ashour,7.28,38,17,0,8,0,0,0,6,6
9,Al Ahly FC,Mohamed Magdy Afsha,7.26,22,9,0,3,0,0,0,12,4
10,Al-Masry,Elyes Jelassi,7.25,17,12,0,4,0,0,0,18,5
11,El Dakhlya,Samir Fekri,7.25,52,19,0,15,0,0,0,13,0
12,Smouha,Hossam Hassan,7.23,17,3,0,6,0,0,0,4,3
13,Al Ahly FC,Amr El-Solia,7.21,39,16,0,24,0,0,0,11,5
14,ENPPI,Abdelrahman Samir,7.20,0,0,0,1,0,0,0,0,1
15,Smouha,Ahmed Abdel Aziz,7.20,5,3,0,9,0,0,0,0,1
16,Modern Future FC,Mohanad Lasheen,7.19,104,32,0,28,0,0,0,32,9
17,Al Ahly FC,Aliou Dieng,7.19,68,40,1,15,0,0,0,16,14
18,Al Ahly FC,Mohamed Hany,7.18,41,20,0,28,0,0,0,12,10
19,Al-Masry,Essam Tharwat,7.18,1,0,0,16,0,0,0,2,6
20,Ghazl El Mahalla,Ahmed El Sheikh,7.16,17,7,0,8,0,0,0,15,4
21,Pyramids FC,Ali Gabr,7.15,32,31,1,104,0,0,0,3,13
22,Al Ahly FC,Mahmoud Metwaly,7.13,27,26,0,41,0,0,0,7,12
23,Al Ahly FC,Marwan Attia,7.13,60,44,0,12,0,0,0,30,7
24,Al Ahly FC,Mohamed El-Shenawy,7.13,2,0,1,19,0,1,0,0,17
25,Al Ahly FC,Ali Lotfi,7.13,0,0,0,1,0,0,0,0,3
26,Zamalek SC,Mohamed Awad,7.12,0,0,0,16,1,0,0,0,8
27,Modern Future FC,Basem Ali,7.12,76,49,0,49,0,0,1,18,11
28,Al Ahly FC,Hussein El Shahat,7.11,11,9,0,4,0,0,0,13,2
29,Zamalek SC,Mahmoud Hamdi,7.10,8,12,0,23,0,0,0,0,3
30,Pharco FC,Mahmoud El Sayed,7.10,0,0,0,2,0,0,0,0,0
31,Modern Future FC,Mahmoud Marei,7.09,35,35,0,54,0,0,0,8,13
32,Al Ahly FC,Mohamed Abdelmonem,7.09,28,29,0,48,0,0,1,12,12
33,Zamalek SC,Ahmed Fatouh,7.09,28,32,0,24,0,0,1,11,8
34,Modern Future FC,Joseph Jonathan Ngwem,7.08,42,24,1,44,0,0,0,13,15
35,Pyramids FC,Mahmoud Saber,7.08,15,6,0,2,0,0,0,1,2
36,Zamalek SC,Hossam Abdelmaguid,7.08,34,33,1,120,2,1,0,10,12
37,Al Ahly FC,Karim Fouad,7.08,13,13,0,5,0,0,0,3,0
38,Pyramids FC,Walid El Karti,7.07,31,26,0,13,0,0,0,20,7
39,El Dakhlya,Mohamed Magdi Abdel Fattah,7.07,0,0,0,8,0,0,0,0,1
40,Al Ahly FC,Hamdi Fathi,7.06,19,21,0,15,0,0,0,12,5
41,Al-Ittihad Alexandria,Mabululu,7.06,17,2,0,26,0,0,0,8,2
42,Pyramids FC,Abdallah El-Said,7.06,10,7,0,13,0,0,0,6,2
43,Al-Mokawloon,Mahmoud Abou El-Saoud,7.06,1,0,0,59,0,0,1,0,14
44,Modern Future FC,Mahmoud Genesh,7.05,0,0,0,27,2,0,0,1,13
45,ENPPI,Mohamed Ismail,7.05,4,2,0,4,0,0,0,0,0
46,Haras El Hedoud,Ibrahim El Kadi,7.05,38,45,1,100,0,0,0,12,5
47,Ceramica Cleopatra,Ragab Nabil,7.05,46,39,0,98,0,0,1,10,11
48,Ceramica Cleopatra,Mohamed Shokry,7.04,60,68,2,46,0,0,0,26,11
49,Al-Ittihad Alexandria,Mahmoud Alaa,7.04,19,32,1,73,0,0,0,5,9
50,Al-Mokawloon,Omar Fayed,7.03,67,46,1,80,0,0,0,11,9
51,Ismaily,Mohamed Fawzi,7.02,0,0,0,9,0,0,0,0,3
52,Modern Future FC,Nasser Maher,7.01,20,5,0,0,0,0,0,12,3
53,ENPPI,Ahmed Kalosha,7.01,49,31,1,147,1,0,0,12,11
54,Haras El Hedoud,Mohamed Reda,7.00,43,24,0,36,0,0,0,8,3
55,Pyramids FC,Ahmed El-Shenawy,7.00,0,0,0,29,0,0,0,1,18
56,Pyramids FC,Mahmoud Ooka,7.00,0,0,0,0,0,0,0,0,0
57,Al-Masry,Adnan Osman,7.00,4,0,0,0,0,0,0,0,0
58,Haras El Hedoud,Ramzi Khaled,7.00,2,0,0,0,0,0,0,0,0
59,Al Ahly FC,Mostafa Shobeir,7.00,0,0,0,2,0,0,0,0,2
60,Al-Mokawloon,Ahmed Eid,7.00,6,3,0,3,0,0,0,0,0
61,Tala'ea El-Gaish,Karim Halawa,7.00,6,1,0,0,0,0,0,0,0
62,Al-Mokawloon,Omar Fathi,7.00,29,10,0,5,0,0,0,17,0
63,Pyramids FC,Ramadan Sobhi,6.99,15,6,0,7,0,0,0,7,5
64,Ceramica Cleopatra,Mohamed Bassam,6.99,1,0,0,21,2,0,0,1,12
65,Ismaily,Serge Aka,6.99,42,12,1,8,0,0,0,18,1
66,Al-Masry,Mohamed Dabash,6.99,16,25,0,37,0,0,0,5,4
67,Al-Masry,Hussein Sayed,6.99,43,38,0,20,0,0,0,8,5
68,ENPPI,Reda Sayed,6.99,2,1,0,36,0,3,0,0,11
69,Modern Future FC,Mahmoud Hamdy,6.99,1,2,0,3,0,0,0,0,6
70,ENPPI,Ahmed Amin Oufa,6.98,23,13,0,21,0,0,0,10,2
71,Al-Ittihad Alexandria,Mahdi Soliman,6.98,1,0,0,44,1,0,0,3,10
72,Tala'ea El-Gaish,Abdel Rahman Shika,6.98,29,26,0,7,0,0,0,11,1
73,Ghazl El Mahalla,Moaz El Henawy,6.98,43,46,1,124,1,1,0,11,8
74,Pyramids FC,Islam Issa,6.98,42,8,0,8,0,0,0,17,0
75,Zamalek SC,Mohamed Abdelghani,6.97,39,30,0,67,0,1,1,19,7
76,Al Ahly FC,Yasser Ibrahim,6.97,41,22,1,58,0,0,0,14,7
77,Ceramica Cleopatra,Mohamed Adel,6.97,49,47,1,26,0,0,0,20,7
78,Pyramids FC,Ibrahim Blati Toure,6.97,44,24,0,8,0,0,0,17,8
79,Smouha,Mohamed El Sabahi,6.97,2,2,0,0,0,0,0,4,0
80,Ismaily,Omar El Wahsh,6.96,49,18,1,9,0,0,0,10,0
81,Zamalek SC,Ahmed Belhadji,6.96,29,13,0,10,0,0,0,14,3
82,Al Ahly FC,Rami Rabia,6.96,18,15,0,28,0,0,0,6,6
83,El Dakhlya,Kamal Aboul-Fetouh,6.96,27,24,0,56,0,0,0,10,4
84,Modern Future FC,Ali El Fil,6.96,20,27,0,59,1,0,0,6,12
85,Ceramica Cleopatra,Mohamed Toni,6.96,35,13,0,10,0,0,0,10,4
86,Al-Mokawloon,Farouck Kabore,6.95,56,48,6,178,0,0,1,20,14
87,Aswan SC,Mohamed Hamdy Zaki,6.95,11,6,0,38,0,0,0,7,2
88,Ghazl El Mahalla,Mostafa El Aash,6.95,57,44,1,84,0,0,1,15,7
89,Pyramids FC,Mostafa Fathy,6.95,25,13,0,8,0,0,0,16,5
90,El Dakhlya,Ahmed El Amour,6.95,5,3,0,11,0,0,0,1,1
91,National Bank of Egypt,Mohamed Abou Gabal,6.95,0,0,1,33,2,1,0,0,10
92,Pharco FC,Abdallah Bakri,6.95,39,41,0,107,0,0,0,8,9
93,Zamalek SC,Nabil Donga,6.95,36,23,0,25,0,0,0,17,4
94,Zamalek SC,Mostafa Shalaby,6.95,27,7,0,7,0,0,0,10,2
95,Ghazl El Mahalla,Himid Mao Mkami,6.94,83,28,0,30,0,0,0,35,5
96,Al-Masry,Islam Abou-Salima,6.94,37,28,0,84,0,0,0,10,7
97,Zamalek SC,Mahmoud Shabana,6.94,21,21,0,85,0,0,0,1,6
98,Tala'ea El-Gaish,Mahmoud Wadi,6.94,7,1,0,9,0,0,0,5,0
99,Zamalek SC,Mohamed Sobhi,6.93,0,0,0,21,0,0,0,0,7
100,Modern Future FC,Marwan Mohsen,6.93,19,2,1,7,0,0,0,3,0
101,Zamalek SC,Hamza Mathlouthi,6.93,37,26,0,63,0,0,0,19,10
102,Smouha,Sherif Reda,6.93,58,36,1,65,0,0,1,26,10
103,Ismaily,Mohamed Hassan,6.93,57,34,0,21,0,0,0,19,6
104,National Bank of Egypt,Mohamed Helal,6.92,32,17,0,8,0,0,0,16,1
105,Al-Ittihad Alexandria,Sabri Raheel,6.92,53,29,0,41,0,0,0,21,9
106,Pyramids FC,Mohamed Hamdi,6.92,38,36,0,62,1,0,0,17,11
107,Haras El Hedoud,Mohamed Fawzi,6.92,3,1,1,28,0,0,0,1,5
108,Haras El Hedoud,Mahmoud Ben Wali,6.92,29,51,1,156,0,0,1,5,7
109,Al-Ittihad Alexandria,Hisham Salah,6.91,45,61,0,76,1,0,0,20,9
110,Pyramids FC,Ahmed Samy,6.91,14,19,3,55,1,0,1,6,10
111,Al Ahly FC,Khaled Abdelfattah,6.91,46,42,0,45,0,0,1,10,11
112,Al-Mokawloon,Ahmed Atef,6.91,67,38,0,18,0,0,0,16,3
113,Ismaily,Ahmed Adel,6.91,0,0,0,7,0,0,0,0,2
114,Ceramica Cleopatra,Ahmed Yasser Rayan,6.91,26,9,0,6,0,0,0,7,3
115,Pyramids FC,Karim Hafez,6.91,8,10,1,14,0,0,0,7,4
116,Tala'ea El-Gaish,Ahmed Samir,6.91,12,7,0,10,0,0,0,7,0
117,Pharco FC,Rami Sabri,6.91,10,23,0,96,0,0,0,6,7
118,Haras El Hedoud,Ahmed Shedid Kenawi,6.90,50,36,1,43,0,0,0,17,4
119,Al-Mokawloon,Ahmed Alaa Eldin,6.90,50,54,1,92,0,0,0,16,14
120,Pharco FC,Rezki Hamroune,6.90,12,9,0,7,0,0,0,11,2
121,Ceramica Cleopatra,Seif Teka,6.90,8,12,0,34,0,0,0,5,5
122,Al-Ittihad Alexandria,Omar Fathy,6.90,1,0,0,1,0,0,0,1,0
123,Pyramids FC,Ahmed Fathi,6.90,19,10,0,27,0,0,0,14,5
124,Ismaily,Abdallah El Saeed,6.90,1,2,0,0,0,0,0,0,0
125,El Dakhlya,Salah Yehia,6.90,1,0,0,0,0,0,0,0,0
126,Ismaily,Mostafa Fares,6.90,3,3,0,0,0,0,0,2,0
127,National Bank of Egypt,Ahmed Sobhi,6.90,0,0,0,1,0,0,0,0,1
128,Ceramica Cleopatra,Ahmed Hany,6.90,27,24,0,19,0,0,0,7,6
129,Aswan SC,Raphael Ayagwa,6.90,78,50,1,39,0,1,0,22,3
130,Aswan SC,Mido Mostafa,6.90,75,51,1,73,0,0,0,25,4
131,Ismaily,Baher El Mohamady,6.90,47,46,2,128,1,1,0,17,5
132,Ismaily,Abdel Rahman Magdi,6.89,31,5,1,1,0,0,0,9,0
133,ENPPI,Ali Fawzi,6.89,36,25,0,38,0,0,0,17,5
134,Al-Masry,Imadeddine Boubekeur,6.89,30,28,0,101,0,0,1,12,9
135,Al Ahly FC,Kahraba,6.89,4,3,0,1,0,0,0,2,1
136,ENPPI,Ahmed El Agouz,6.89,55,38,0,17,0,0,0,20,2
137,Al-Ittihad Alexandria,Abdallah Nasib,6.89,22,16,0,66,1,0,0,8,2
138,Al-Mokawloon,Abdelrahman Khaled Gebna,6.89,31,13,0,5,0,0,0,10,0
139,Al-Ittihad Alexandria,Khaled El Ghandour,6.89,34,17,0,18,0,0,0,19,3
140,Zamalek SC,Ibrahima Ndiaye,6.89,18,6,0,8,0,0,0,9,2
141,National Bank of Egypt,Mahmoud El-Gazzar,6.88,40,28,0,77,0,0,0,11,7
142,National Bank of Egypt,Mahmoud Kaoud,6.88,19,13,0,26,0,0,0,9,7
143,Zamalek SC,Mostafa El Zenary,6.88,21,18,0,49,0,0,0,4,7
144,Modern Future FC,Ahmed Refaat,6.88,6,1,0,0,0,0,0,4,0
145,Ceramica Cleopatra,Marouane Sahraoui,6.88,6,8,0,13,0,0,0,1,2
146,Pharco FC,Mahmoud Hamada,6.88,47,29,0,27,0,0,0,16,12
147,Al-Masry,Amr Moussa,6.88,35,34,1,86,0,0,0,8,11
148,Modern Future FC,Omar Kamal,6.88,25,15,0,28,0,0,0,12,4
149,Al Ahly FC,Taher Mohamed,6.88,27,11,0,3,0,0,0,15,3
150,ENPPI,Ahmed Sebiha,6.88,39,34,0,77,0,0,0,20,8
151,Al Ahly FC,Mohamed Sherif,6.88,13,2,0,3,0,0,0,8,3
152,Haras El Hedoud,Islam Abdallah,6.88,21,20,0,57,0,0,0,7,1
153,Ismaily,Mohamed Nasr,6.88,18,10,1,40,0,0,0,4,2
154,National Bank of Egypt,Mohamed Fathi,6.87,56,51,1,27,0,0,0,15,8
155,Modern Future FC,Saad Samir,6.87,11,8,1,33,0,1,0,1,4
156,National Bank of Egypt,Saidou Simpore,6.87,15,24,0,60,0,0,0,5,8
157,Al-Mokawloon,Luis Hinestroza,6.87,36,27,0,23,0,0,0,14,3
158,Pyramids FC,Fagrie Lakay,6.87,11,4,0,6,0,0,0,6,2
159,El Dakhlya,Funom Alfred,6.87,11,2,0,6,0,0,0,1,0
160,Pharco FC,Mohamed Saeed Shika,6.86,4,1,0,36,2,1,0,3,13
161,Ghazl El Mahalla,Gabriel Orok Ibitham,6.86,40,9,0,0,0,0,0,19,3
162,Al-Ittihad Alexandria,Khaled Sobhi,6.86,30,21,1,53,0,0,0,8,6
163,Al-Mokawloon,Fady Farid,6.86,4,4,0,4,0,0,0,2,0
164,Aswan SC,Hossam Arafat,6.86,13,4,0,5,0,0,0,8,0
165,Tala'ea El-Gaish,Mohamed Shehata,6.86,57,17,0,5,0,0,0,16,2
166,Aswan SC,Ahmed Dahroug,6.86,32,17,0,14,0,0,0,12,0
167,Tala'ea El-Gaish,Karim Tarek,6.85,33,11,0,4,0,0,0,19,3
168,Modern Future FC,Mohamed Reda,6.85,28,9,0,10,0,0,0,12,3
169,Smouha,Yehia Yasser,6.85,1,1,0,1,0,0,0,0,0
170,Al-Mokawloon,Mohamed Rizk,6.85,31,21,0,9,0,0,0,8,1
171,Ismaily,Yaw Annor,6.85,45,20,0,4,0,0,0,32,3
172,Pharco FC,Shokry Naguib,6.85,14,6,0,5,0,0,0,6,3
173,Pharco FC,Saif Thierry,6.84,1,0,0,0,0,0,0,0,0
174,Smouha,Mostafa Saad,6.84,26,8,0,3,0,0,0,18,0
175,El Dakhlya,Allan Kyambadde,6.84,45,30,1,31,0,0,0,19,6
176,Ismaily,Emad Hamdi,6.84,41,27,0,40,0,0,0,15,4
177,Ceramica Cleopatra,Ahmed Ramadan,6.84,52,32,0,66,0,0,0,19,9
178,Al-Masry,Marwan Hamdy,6.84,19,4,0,11,0,0,0,9,6
179,Ceramica Cleopatra,Amr Kalawa,6.84,22,11,0,5,0,0,0,5,0
180,Tala'ea El-Gaish,Ahmed Meteb,6.84,79,32,0,28,1,0,1,26,10
181,Aswan SC,Mohamed Morsi,6.83,11,8,0,2,0,0,0,6,0
182,Al Ahly FC,Karim Eldbees,6.83,5,7,0,6,0,0,0,1,1
183,Zamalek SC,Naser Mansi,6.83,7,2,1,8,0,0,0,4,0
184,Al-Mokawloon,Joseph Ochaya,6.83,31,42,1,43,0,0,0,18,8
185,Tala'ea El-Gaish,Mohamed Camacho,6.83,39,49,3,119,0,1,1,10,12
186,Tala'ea El-Gaish,Mostafa Khawaga,6.83,22,8,0,4,0,0,0,8,0
187,Ismaily,Saleh Gomaa,6.83,12,3,0,2,0,0,0,8,0
188,Al-Masry,Mahmoud Gad,6.82,1,0,0,30,1,0,0,0,9
189,Aswan SC,Ahmed Castelo,6.82,56,55,1,125,0,0,0,14,4
190,Smouha,Mohamed Essam Emara,6.82,15,8,0,8,0,0,0,6,0
191,Pyramids FC,Ahmed Tawfik,6.82,79,26,0,28,0,0,0,25,5
192,El Dakhlya,Emad El-Sayed,6.82,0,0,0,19,0,0,0,1,4
193,Modern Future FC,Ghanam Mohamed,6.82,35,15,0,29,0,0,0,25,9
194,Pharco FC,Ali Baheeg,6.82,2,1,0,2,0,0,0,0,0
195,Modern Future FC,Mahmoud Shaaban,6.82,11,5,0,8,0,0,0,6,1
196,Aswan SC,Ahmed Khaled,6.82,38,11,0,4,0,0,0,10,0
197,Zamalek SC,Seifeddine Jaziri,6.81,16,5,0,12,0,0,0,3,1
198,Ismaily,Mohamed Makhlouf,6.81,25,5,0,5,0,0,0,2,0
199,Pharco FC,Ahmed El Bahrawy,6.81,44,14,0,30,0,0,0,11,4
200,Haras El Hedoud,Khaled Sami,6.81,15,17,1,67,0,0,0,5,0
201,National Bank of Egypt,Issahaku Yakubu,6.81,47,25,0,33,1,0,0,11,10
202,Zamalek SC,Mohamed Ashraf Roqa,6.81,30,22,0,12,0,0,1,19,3
203,Ceramica Cleopatra,Ahmed El Armouty,6.81,15,2,0,2,0,0,0,5,0
204,Modern Future FC,Mahmoud Rizk,6.81,12,9,0,44,0,0,0,6,3
205,Pyramids FC,Mahmoud Dunga,6.81,19,8,0,10,0,0,0,3,1
206,Ceramica Cleopatra,Mido Gaber,6.81,39,29,0,21,0,0,0,20,5
207,Ghazl El Mahalla,Mahmoud El Hadary,6.81,0,0,0,12,1,0,0,2,3
208,Al-Mokawloon,Mamadou Niass,6.81,34,7,0,4,0,0,0,18,1
209,Pharco FC,Ahmed Abdelaziz Mody,6.81,28,15,1,29,1,1,0,2,4
210,Tala'ea El-Gaish,Ahmed Abdel Rahman Zola,6.81,65,31,0,35,0,0,0,28,10
211,Haras El Hedoud,Mostafa Ziko,6.80,39,13,1,29,0,0,0,24,5
212,El Dakhlya,Abdelrahman El Banouby,6.80,18,8,0,6,0,0,0,8,0
213,Zamalek SC,Amr El Sisi,6.80,28,16,0,5,0,0,0,13,0
214,Ismaily,Marwan Hamdi,6.80,3,0,0,0,0,0,0,1,0
215,El Dakhlya,Mohab Yasser,6.80,2,0,0,1,0,0,0,0,0
216,Ceramica Cleopatra,Samuel Amadi,6.80,6,2,0,1,0,0,0,1,0
217,Ismaily,Mohamed Abdelsamia,6.80,19,2,0,2,0,0,0,6,0
218,Al-Masry,Zyad Farag,6.80,1,1,0,2,0,0,0,0,0
219,ENPPI,Seif Elkhashab,6.80,8,8,0,20,0,0,0,5,0
220,Al Ahly FC,Mohamed Fakhry,6.80,13,7,0,4,0,0,0,2,1
221,Al-Ittihad Alexandria,Salifu Moro,6.80,50,33,0,41,0,0,1,27,11
222,Al-Masry,Emeka Eze,6.80,37,28,0,19,0,0,0,11,7
223,Al-Masry,Mohamed Grendo,6.80,34,9,0,13,0,0,0,17,6
224,Ismaily,Mohamed Hashem,6.80,39,26,0,108,0,0,0,10,5
225,Al-Masry,Amr Saadawy,6.80,36,22,0,19,0,0,0,25,5
226,Al-Masry,Karim El Eraki,6.79,43,27,1,29,0,0,0,20,5
227,Al-Ittihad Alexandria,Mohammed Saleh,6.79,10,23,0,66,0,0,1,9,4
228,El Dakhlya,Rasheed Ahmed,6.79,9,3,1,12,0,0,0,4,0
229,ENPPI,Emad Mayhoub,6.79,12,4,0,6,0,0,0,2,0
230,Pharco FC,Kingsley Sokari,6.79,45,22,0,24,0,0,0,16,6
231,ENPPI,Khaled Reda,6.79,23,23,1,69,0,0,0,2,2
232,Al Ahly FC,Ahmed Kendouci,6.79,25,6,0,4,0,0,0,14,3
233,Ismaily,Mohamed Bayoumi,6.79,10,6,0,4,0,0,0,1,0
234,Tala'ea El-Gaish,Mohamed Shaaban,6.78,0,0,0,18,2,0,0,0,7
235,Modern Future FC,Abdelkabir El Ouady,6.78,37,13,0,6,0,0,0,17,5
236,Al-Mokawloon,John Okoli,6.78,15,3,0,15,0,0,0,11,6
237,Smouha,El-Hani Soliman,6.78,1,2,0,11,1,0,0,2,9
238,Ismaily,Karim El Deeb,6.78,19,12,0,13,0,0,0,7,0
239,Ceramica Cleopatra,Mohamed Metwally Canaria,6.78,36,25,0,12,0,0,0,19,5
240,Ceramica Cleopatra,Mohamed Nassef,6.78,2,2,0,2,0,0,0,0,0
241,Ceramica Cleopatra,Constant Wayou,6.78,7,1,0,1,0,0,0,0,0
242,Al-Masry,Amro Tarek,6.78,8,7,1,11,0,0,0,2,0
243,Smouha,Ahmed Hakam,6.77,16,32,1,133,1,0,0,8,9
244,Al-Mokawloon,Mohamed Magli,6.77,68,14,1,15,0,0,0,22,3
245,Al-Ittihad Alexandria,Mahmoud Abdel-Aziz,6.77,29,11,0,18,0,0,0,7,0
246,Pharco FC,Amr Gamal,6.77,11,1,0,8,0,0,0,5,2
247,Tala'ea El-Gaish,Islam Mohareb,6.77,45,18,0,6,0,0,0,33,0
248,Al Ahly FC,Ahmed Nabil Koka,6.77,14,4,0,4,0,0,0,8,1
249,Al Ahly FC,Percy Tau,6.77,13,13,0,0,0,0,0,10,3
250,National Bank of Egypt,Ahmed El Aash,6.77,12,20,1,33,1,0,0,4,3
251,Modern Future FC,Ahmed Atef,6.77,9,5,0,0,0,0,0,9,2
252,Pyramids FC,Fakhreddine Ben Youssef,6.77,5,3,0,1,0,0,0,2,0
253,Al-Ittihad Alexandria,Ibrahim Hassan,6.77,38,17,0,10,0,0,0,14,0
254,ENPPI,Ahmed Youssef,6.77,55,22,1,23,0,0,0,16,4
255,Al-Mokawloon,Louay Wael,6.77,5,1,0,6,0,0,0,1,0
256,Pharco FC,Jefferson Encada,6.77,25,28,0,37,0,0,0,7,7
257,Al-Ittihad Alexandria,Sobhy Soliman,6.77,1,0,0,2,0,0,1,3,2
258,Ceramica Cleopatra,Mohamed Ibrahim,6.76,33,10,0,5,0,0,0,25,4
259,Al Ahly FC,Shady Hussein,6.76,6,2,0,2,0,0,0,6,0
260,Al-Ittihad Alexandria,Ammar Hamdy,6.76,37,8,1,4,0,0,0,21,1
261,National Bank of Egypt,Karim Bambo,6.76,14,9,0,3,0,0,0,9,2
262,Pharco FC,Ahmed Awad,6.76,10,6,0,60,0,0,0,5,8
263,Al-Mokawloon,Mohamed Salem,6.75,1,0,0,5,0,0,0,1,0
264,Aswan SC,Malick Evouna,6.75,1,2,0,0,0,0,0,0,0
265,Al-Masry,Hossam Greisha,6.75,5,1,0,2,0,0,0,4,0
266,Aswan SC,Mustafa Anani,6.75,1,0,0,1,0,0,0,0,0
267,Al-Masry,Mohamed El Fayoumi,6.75,6,2,0,0,0,0,0,5,0
268,Pyramids FC,Hesham Mohamed,6.75,3,0,0,5,0,0,0,2,0
269,Tala'ea El-Gaish,Omar Radwan,6.75,0,0,2,7,0,0,0,1,4
270,Zamalek SC,Shikabala,6.75,5,0,0,0,0,0,0,4,0
271,El Dakhlya,Mostafa Fawzy,6.75,13,3,0,4,0,0,0,3,0
272,National Bank of Egypt,Mahmoud Sayed,6.75,32,12,0,11,0,0,0,4,2
273,Tala'ea El-Gaish,Hassan Magdy,6.74,10,9,0,15,0,0,0,1,1
274,El Dakhlya,Ali El Zahdi,6.74,8,12,0,15,0,0,0,5,0
275,Smouha,Dokou Dodo,6.74,63,24,1,33,0,0,0,20,9
276,Ghazl El Mahalla,Ahmed Mayhoub,6.74,1,1,0,26,0,0,0,2,3
277,ENPPI,Mohamed Hamed,6.74,35,17,1,66,0,0,0,4,5
278,Ismaily,Karim Arafat,6.74,24,10,0,15,0,0,0,5,2
279,Smouha,Sodiq Awujoola,6.74,17,7,0,9,0,0,0,15,1
280,Ceramica Cleopatra,Mahmoud Bolbol Nabil,6.74,19,5,0,3,0,0,0,4,1
281,Zamalek SC,Hatem Mohamed,6.74,22,11,0,13,0,0,0,6,2
282,El Dakhlya,Mahmoud Talaat,6.74,59,27,0,36,1,0,0,17,6
283,El Dakhlya,Kelechi Chimezie,6.74,69,52,1,26,0,0,0,26,8
284,Al-Mokawloon,Amir Abed,6.74,24,17,1,46,0,0,1,4,2
285,Pharco FC,Mohamed Ahmed Fouad,6.74,22,6,0,5,0,1,0,5,0
286,Ghazl El Mahalla,Ehab Samir,6.73,50,30,0,33,1,0,0,19,3
287,Aswan SC,Amr Hossam,6.73,1,1,2,35,2,1,0,0,5
288,El Dakhlya,Ahmed Sayed Abdelnaby,6.73,61,40,1,36,0,0,1,13,6
289,Al-Mokawloon,Ahmed Fawzi,6.73,16,8,0,7,0,0,0,9,2
290,National Bank of Egypt,Ahmed Said,6.73,15,11,0,6,0,0,0,8,0
291,Smouha,Benjamin Bernard Boateng,6.73,5,1,0,9,0,0,0,7,1
292,Aswan SC,Dilson,6.73,8,4,0,13,0,0,0,8,1
293,Pyramids FC,Dodo El Gabas,6.73,1,0,0,1,0,0,0,0,0
294,ENPPI,Ahmed Eid,6.73,16,7,0,18,0,0,0,4,2
295,Ghazl El Mahalla,Mohamed Bazoka,6.73,41,28,1,100,1,0,1,16,5
296,Al Ahly FC,Ahmed Abdelkader,6.73,18,9,0,1,0,0,0,13,1
