#,Team,Name,Average Sofascore rating,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Errors lead to shot,Own goals,Dribbled past,Clean sheets
297,Al-Ittihad Alexandria,Mohamed Mahmoud,6.73,22,8,0,1,0,0,0,15,1
298,Modern Future FC,Tarek Taha,6.73,4,3,0,4,0,0,0,8,1
299,Al-Masry,Ziad Kamal,6.73,18,11,0,3,0,0,1,10,2
300,Ceramica Cleopatra,John Okoye Ebuka,6.72,3,1,0,0,0,0,0,0,1
301,Tala'ea El-Gaish,Farid Shawky,6.72,38,27,1,22,0,0,0,25,9
302,Zamalek SC,Omar Gaber,6.72,26,13,0,12,0,0,0,6,1
303,National Bank of Egypt,Ahmed Yasser,6.72,36,18,0,11,0,0,0,22,3
304,Pharco FC,Abdel Naser Mohamed Di Maria,6.72,9,4,0,5,0,0,0,0,0
305,ENPPI,Rafik Kabou,6.71,14,4,0,1,0,0,0,18,3
306,El Dakhlya,Walid Mostafa,6.71,13,7,0,5,0,0,0,0,0
307,Al Ahly FC,Mohamed Ashraf,6.71,9,4,1,7,0,0,0,3,2
308,Aswan SC,Islam Salah,6.71,13,25,0,42,0,0,0,3,0
309,Al-Ittihad Alexandria,Naser Naser,6.71,19,11,0,6,0,0,0,16,1
310,Zamalek SC,Mohamed Tarek,6.71,11,1,0,12,0,0,0,6,0
311,Al-Masry,Abderrahim Deghmoum,6.71,36,7,0,5,0,0,0,25,1
312,Aswan SC,Mostafa Abdel Rasoul,6.71,22,10,0,7,0,1,0,5,1
313,Aswan SC,Emad Fathy,6.71,55,26,0,15,0,0,0,19,1
314,Aswan SC,Belal El Sayed,6.71,20,11,1,6,0,1,0,11,0
315,Modern Future FC,Hesham Balaha,6.71,7,8,0,3,0,0,0,5,0
316,Smouha,Malek Baayou,6.71,16,16,0,10,0,0,0,9,1
317,Al-Masry,Ahmed Emad,6.71,17,18,1,22,0,0,0,11,5
318,Pharco FC,Ahmed El-Saghiri,6.71,20,19,0,15,0,0,0,11,1
319,Tala'ea El-Gaish,Khaled Stouhi,6.71,20,24,0,44,0,0,1,5,3
320,Tala'ea El-Gaish,Khaled Kamar,6.71,4,2,1,12,0,0,0,5,0
321,ENPPI,Mohamed Hamdi,6.70,25,18,0,16,0,0,0,15,3
322,Ismaily,Firas Chaouat,6.70,8,3,0,6,0,0,0,5,1
323,Pyramids FC,Ibrahim Adel,6.70,23,8,0,2,0,0,0,14,2
324,Ismaily,Ahmed Madbouli,6.70,37,10,0,3,0,0,0,21,1
325,Smouha,Ahmed Mostafa,6.70,25,15,0,12,0,0,0,15,1
326,Zamalek SC,Sayed Abdallah,6.70,14,7,0,8,0,0,0,6,0
327,ENPPI,Karim El Tayeb,6.70,4,0,0,4,0,0,0,1,0
328,Al-Masry,Saeed Kamal,6.70,2,0,0,1,0,0,0,1,1
329,ENPPI,Mohamed Abdel Aati,6.70,8,3,0,1,0,0,0,4,0
330,Al-Ittihad Alexandria,Ahmed Sayed Gharib,6.70,3,0,0,5,0,0,0,2,0
331,ENPPI,Amr Marey,6.70,2,0,0,1,0,0,0,0,0
332,Modern Future FC,Ahmed Yehia,6.70,0,0,0,2,0,0,0,0,1
333,Al-Mokawloon,Ahmed Afifi,6.70,0,0,0,0,0,0,0,0,0
334,ENPPI,Mohamed El Nahass,6.70,0,0,0,0,0,0,0,0,0
335,Zamalek SC,Ahmed Esho,6.70,3,0,0,2,0,0,0,1,0
336,Tala'ea El-Gaish,Yehia Hamed,6.70,2,0,0,0,0,0,0,0,0
337,Pharco FC,Hassan Tarek,6.70,1,1,0,1,0,0,0,0,0
338,Zamalek SC,Mohamed Hossam,6.70,1,3,0,0,0,0,0,1,0
339,ENPPI,Ibrahim Galal,6.70,0,0,0,0,0,0,0,0,0
340,Al-Mokawloon,Youssef Magdy Abdel Ghani,6.70,1,0,0,0,0,0,0,0,0
341,Zamalek SC,Mohamed Abdel Shafi,6.70,10,12,0,6,0,0,0,3,0
342,Haras El Hedoud,Omar Bassam,6.70,11,1,0,1,0,0,0,3,1
343,El Dakhlya,Mohamed Ramadan,6.70,4,1,0,0,0,0,0,1,0
344,National Bank of Egypt,Ahmed Yassin,6.69,17,20,0,63,0,0,0,5,3
345,Aswan SC,Mohamed Atwa,6.69,30,22,3,66,0,0,0,11,4
346,National Bank of Egypt,Osama Faisal,6.69,15,3,0,2,0,0,0,7,1
347,National Bank of Egypt,Osama Ibrahim,6.69,38,20,1,42,0,0,0,11,1
348,Ghazl El Mahalla,Amr Shaaban,6.69,0,1,0,14,1,1,0,1,2
349,El Dakhlya,Mohamed Naguib,6.69,29,30,2,100,1,0,0,5,9
350,Al-Masry,Abdo Yehia,6.69,15,3,0,7,0,0,0,6,2
351,ENPPI,Marwan Dawoud,6.69,19,16,0,18,0,0,0,12,6
352,Al-Masry,Ragab Omran,6.69,12,2,0,6,0,0,0,5,0
353,Pharco FC,Azmi Ghouma,6.69,30,18,0,12,0,0,0,12,2
354,ENPPI,Mody Naser,6.69,43,19,0,10,0,0,0,18,2
355,Tala'ea El-Gaish,Mohamed Sherif,6.68,9,4,0,2,0,0,0,5,0
356,ENPPI,Abdel Aziz El Balouti,6.68,0,0,0,28,1,0,0,1,4
357,Haras El Hedoud,Islam Gamal,6.68,18,2,0,1,0,0,0,6,0
358,Ghazl El Mahalla,Ahmed El Nadry,6.68,50,27,0,20,0,0,0,30,7
359,Ghazl El Mahalla,Salah Rico,6.68,6,2,0,3,0,0,0,3,0
360,Ceramica Cleopatra,Ibrahim Ayoola,6.68,0,0,0,1,0,0,0,0,0
361,Tala'ea El-Gaish,Ahmed Ayman Mansour,6.68,32,30,1,58,0,0,0,19,7
362,Zamalek SC,Youssef Osama Nabih,6.68,4,1,0,4,0,0,0,5,0
363,Ceramica Cleopatra,Abdelrahman Body,6.68,11,6,0,8,0,0,0,1,1
364,El Dakhlya,Ahmed Abdelrasoul,6.68,24,12,0,88,1,0,0,7,5
365,Modern Future FC,Karim Nedved,6.67,28,8,0,10,0,0,0,15,3
366,Al-Masry,Hassan Ali,6.67,17,5,0,7,0,0,0,5,2
367,Aswan SC,Mahmoud Fahmy,6.67,3,1,0,4,0,0,0,1,0
368,Haras El Hedoud,Mostafa Sobhi,6.67,33,2,0,6,0,0,0,6,0
369,Ismaily,Mohamed Koko,6.67,1,0,0,16,0,0,0,0,2
370,Smouha,Hussein Faisal,6.67,41,9,1,17,1,0,0,25,2
371,Pharco FC,Ahmed Sherif,6.67,7,3,0,5,0,0,0,2,1
372,ENPPI,Youssef Labib,6.67,0,0,0,4,0,0,0,0,0
373,Pharco FC,Mohamed Zakaria Shika,6.67,3,0,0,0,0,0,0,0,0
374,Tala'ea El-Gaish,Mohamed Samir,6.67,12,15,2,25,0,0,0,2,4
375,Haras El Hedoud,Ahmed Fathi Hamza,6.66,43,23,0,24,0,0,0,21,3
376,Ismaily,Omar El Saaiy,6.66,9,2,0,3,0,0,0,1,0
377,National Bank of Egypt,Hamdy Alaa,6.66,17,9,0,0,0,0,0,4,0
378,Ismaily,Mohamed Desouki,6.66,44,26,0,67,0,0,0,12,7
379,Al-Ittihad Alexandria,Islam Abdelnaim,6.66,16,7,0,3,0,0,0,7,0
380,Modern Future FC,Mohamed Farouk,6.66,17,5,0,9,0,0,0,4,1
381,Ghazl El Mahalla,Mohamed Gaber,6.66,54,32,1,29,0,1,0,43,3
382,Pharco FC,Yassin Marei,6.66,5,6,1,18,0,0,0,0,0
383,El Dakhlya,Ahmed Dahesh,6.66,5,0,0,7,0,0,0,2,0
384,Al-Mokawloon,Ahmed El Shimi,6.66,57,28,1,37,0,0,0,23,6
385,Al-Ittihad Alexandria,Mostafa Ibrahim,6.66,8,12,0,25,0,0,0,4,1
386,Ghazl El Mahalla,Ahmed Reda,6.65,11,7,0,2,0,0,0,4,0
387,Modern Future FC,Ali Zaazaa,6.65,20,11,0,3,0,0,0,11,1
388,Modern Future FC,Omar El Said,6.65,2,1,0,11,0,0,0,3,0
389,Ghazl El Mahalla,Hazem Morsi,6.65,6,1,0,6,0,0,0,2,0
390,Al-Ittihad Alexandria,Austin Amutu,6.65,2,2,0,17,0,0,0,1,0
391,ENPPI,Mostafa Dowidar,6.65,12,11,1,9,0,0,0,0,1
392,Al-Masry,Amr El Morsi,6.65,2,0,0,0,0,0,0,0,0
393,ENPPI,Girgis Magdy,6.65,2,0,0,0,0,0,0,1,0
394,Al Ahly FC,Ahmed Ashraf Ahmed,6.65,1,1,0,3,0,0,0,1,0
395,National Bank of Egypt,Eslam Gaber,6.65,18,5,0,5,0,0,0,10,0
396,Al-Masry,Osama El Gazar,6.64,13,7,0,5,0,0,0,9,0
397,Ismaily,Mohamed El Shamy,6.64,24,15,1,14,0,0,0,10,4
398,Haras El Hedoud,Hamed Khaled El Gabry,6.64,30,26,1,26,0,0,0,12,2
399,Tala'ea El-Gaish,Ahmed Masoud,6.64,0,0,0,5,1,0,0,1,2
400,Al-Mokawloon,Mohamed Hozian,6.64,7,7,0,7,0,0,0,6,1
401,Zamalek SC,Samson Akinyoola,6.63,1,0,0,0,0,0,0,0,0
402,Smouha,Omar Salah,6.63,0,0,1,8,1,0,0,1,3
403,Al-Ittihad Alexandria,Gavin Kizito,6.63,5,3,0,5,0,0,0,2,0
404,Modern Future FC,Mohamed Abdelsalam,6.63,8,4,0,6,0,0,0,6,0
405,Smouha,El Sabahy Emad,6.63,6,5,0,1,0,0,0,0,1
406,Tala'ea El-Gaish,Mohamed Diab,6.63,5,8,0,18,0,0,0,7,3
407,Haras El Hedoud,Mohamed Ahmed Kamel,6.63,3,13,0,39,0,0,0,3,2
408,Smouha,Mohamed El-Maghrabi,6.63,20,15,1,51,0,0,0,9,5
409,El Dakhlya,Abdelaziz El Sayed,6.63,27,29,0,60,1,0,0,11,5
410,ENPPI,Mostafa Shakshak,6.63,22,11,0,17,0,0,0,8,3
411,Zamalek SC,Seif Farouk Gaafar,6.63,14,7,0,2,0,0,0,10,0
412,Haras El Hedoud,Mahmoud Mamdouh,6.63,12,1,0,6,0,0,0,5,1
413,National Bank of Egypt,Mohamed Bassiouny,6.63,17,10,0,12,0,0,0,12,2
414,Al-Masry,Ahmed El Sheikh,6.63,9,4,0,2,0,0,0,3,0
415,National Bank of Egypt,Basem Morsi,6.63,8,6,0,8,0,0,0,3,0
416,Ismaily,Essam Sobhy,6.62,31,33,1,44,1,0,0,13,4
417,Haras El Hedoud,Mostafa Gamal,6.62,44,19,0,49,0,0,0,28,5
418,Al Ahly FC,Bruno Sávio,6.62,6,2,0,4,0,0,0,7,0
419,Smouha,Alia Sylla,6.62,2,0,0,2,0,0,0,0,0
420,Haras El Hedoud,Kingsley Fidelis Kuku,6.61,12,3,0,0,0,0,0,1,0
421,Ghazl El Mahalla,Khaled El Akhmimi,6.61,12,5,0,2,0,0,0,5,0
422,Haras El Hedoud,Emmanuel David,6.61,10,5,0,1,0,0,0,8,0
423,Ghazl El Mahalla,Ibrahim Kone,6.61,12,10,0,5,0,0,0,4,0
424,Ceramica Cleopatra,Salah Mohsen,6.61,1,2,0,5,0,0,0,0,0
425,Aswan SC,Gedo,6.60,24,13,0,7,0,0,0,9,0
426,Aswan SC,Ali Fathi,6.60,32,37,1,50,0,0,1,15,4
427,Tala'ea El-Gaish,Paul Joules,6.60,4,1,0,2,0,0,0,2,0
428,Pharco FC,Gaber Kamel,6.60,27,19,0,23,0,0,1,8,1
429,National Bank of Egypt,Assem Salah,6.60,12,14,0,7,0,1,0,5,0
430,Smouha,Mohammed Rashid,6.60,0,0,0,1,0,0,0,0,0
431,Al Ahly FC,Motaz El Sayed,6.60,0,0,0,0,0,0,0,0,0
432,Ismaily,Khaled Alnabrisi,6.60,0,1,0,0,0,0,0,0,0
433,Al-Masry,Sherif Dabo,6.60,0,0,0,0,0,0,0,0,0
434,Ismaily,Abdoul Kader Coulibaly,6.60,0,0,0,0,0,0,0,0,0
435,Aswan SC,Saber El Shimi,6.60,0,0,0,1,0,0,0,0,0
436,El Dakhlya,Mahmoud El Gharabawy,6.60,0,0,0,1,0,0,0,0,0
437,El Dakhlya,Mahmoud Shedid Kenawi,6.60,1,1,0,1,0,0,0,0,0
438,ENPPI,Shemeles Bekele,6.60,2,0,0,0,0,0,0,1,0
439,Al-Mokawloon,El Habib Ahmed Hassan,6.60,0,0,0,0,0,0,0,0,0
440,Al-Ittihad Alexandria,Amr Khalil,6.60,0,0,0,3,0,0,0,0,0
441,Ismaily,Mohamed Benkhemassa,6.60,3,4,0,2,0,0,0,2,0
442,Zamalek SC,Ali Yasser,6.60,2,0,0,1,0,0,0,2,1
443,Pyramids FC,Ojo Tolulope,6.60,0,0,0,0,0,0,0,0,0
444,Ceramica Cleopatra,Arthur Justice,6.60,5,1,0,6,0,0,0,1,0
445,Pharco FC,Mahmoud Gehad,6.60,11,4,1,1,0,0,0,2,1
446,Haras El Hedoud,Medhat Fakousa,6.60,5,1,0,5,0,0,0,1,0
447,ENPPI,Salah Zayed,6.60,0,0,0,0,0,0,0,3,0
448,ENPPI,Eric Traore,6.60,8,2,0,5,0,0,0,3,0
449,Tala'ea El-Gaish,Ali Hamdy,6.60,14,10,0,7,0,0,0,19,1
450,Smouha,Ahmed Gamal,6.60,35,30,0,34,0,0,0,15,1
451,Ismaily,Mahmoud Shabrawy,6.59,8,2,0,1,0,0,0,3,0
452,El Dakhlya,Momen Atef,6.59,19,18,1,15,0,0,0,7,3
453,ENPPI,Abdel Rahman Emad,6.59,18,3,0,4,0,0,0,4,0
454,Pharco FC,Mahmoud Emad,6.59,17,8,0,5,0,0,0,11,0
455,Smouha,Mohamed Saeed,6.59,24,12,0,18,0,0,0,15,2
456,Ceramica Cleopatra,Mahmoud Zalaka,6.59,8,0,0,0,0,0,0,7,0
457,Smouha,Halimo,6.59,33,31,0,19,1,0,0,30,3
458,Ghazl El Mahalla,Paulin Voavy,6.59,7,2,0,1,0,0,0,0,0
459,Al Ahly FC,Mohamed Dhaoui,6.59,6,1,0,0,0,0,0,6,1
460,Haras El Hedoud,Ahmed El Saadani,6.59,0,0,0,7,0,0,1,0,2
461,National Bank of Egypt,Razak Cissé,6.59,11,2,0,1,0,0,0,4,2
462,El Dakhlya,Eric Serge,6.59,5,2,0,2,0,0,0,2,0
463,Smouha,Zeyad Tarek,6.58,2,1,0,1,0,0,0,3,0
464,Ghazl El Mahalla,Abdelrahman Atef,6.58,4,3,0,3,0,0,0,2,0
465,Pyramids FC,Abdallah Magdy,6.58,9,7,0,6,0,0,0,1,0
466,Al-Masry,Franck Mbella Etouga,6.58,7,2,0,2,0,0,0,5,0
467,National Bank of Egypt,Firas Ifia,6.58,2,0,0,1,0,0,0,1,0
468,Haras El Hedoud,Wagih Abdel Hakim,6.58,9,5,0,4,0,0,0,4,2
469,Smouha,Barakat Haggag,6.58,16,24,1,58,0,0,0,8,3
470,Zamalek SC,Youssef Hassan,6.58,1,0,0,1,0,0,0,1,0
471,Modern Future FC,Abdallah Yaisien,6.58,6,0,0,0,0,0,0,0,0
472,Haras El Hedoud,Ahmed Ayman,6.57,11,6,0,7,0,0,0,2,0
473,Modern Future FC,Mostafa El-Badry,6.57,12,7,0,3,0,0,0,8,1
474,Al-Masry,Islam Ateia,6.57,14,3,0,6,0,0,0,4,1
475,Tala'ea El-Gaish,Arabi Badr,6.57,2,4,0,3,0,0,0,3,1
476,Pyramids FC,Mohamed Sadek,6.57,15,5,0,1,0,0,0,6,0
477,Modern Future FC,Aymen Sfaxi,6.56,8,3,0,5,0,0,0,1,0
478,Ghazl El Mahalla,Mahmoud Alaa El Katamy,6.56,10,6,0,11,0,0,0,3,0
479,Smouha,Abubakar Liday,6.56,9,2,0,0,0,0,0,2,0
480,Ghazl El Mahalla,Karim Mostafa,6.56,8,4,0,6,0,0,0,8,0
481,Smouha,Ahmed Shousha,6.56,12,19,0,44,1,0,0,2,3
482,Smouha,Mohamed Nadi,6.55,12,9,0,7,0,0,0,4,1
483,Haras El Hedoud,Ahmed Dawooda,6.55,3,0,0,1,0,0,0,1,0
484,Aswan SC,Omar Saoudi,6.55,0,0,0,0,0,0,0,1,0
485,Tala'ea El-Gaish,Fares Hatem,6.55,0,0,0,0,0,0,0,1,0
486,Smouha,Momen Mohamed Abd Rabo,6.55,0,4,0,10,0,0,0,0,1
487,Smouha,Tariq Alaa,6.55,9,5,0,8,0,0,0,3,1
488,Aswan SC,Ahmed Hamoudi,6.55,5,2,0,2,0,0,0,3,0
489,Tala'ea El-Gaish,Mahmoud Wahid,6.54,6,2,0,2,0,0,0,2,1
490,Haras El Hedoud,Valentine Odoh,6.54,15,5,0,2,0,0,0,1,0
491,Al-Ittihad Alexandria,Abdelghani Mohamed,6.54,8,6,0,1,0,0,0,5,0
492,Ghazl El Mahalla,Charles Ekpenyong,6.54,4,3,0,1,0,0,0,4,0
493,El Dakhlya,Karim Yehia,6.53,10,17,0,27,0,0,0,4,0
494,Aswan SC,Islam Gamal,6.53,4,1,0,22,0,0,0,0,0
495,ENPPI,Momen Rady,6.53,9,8,0,4,0,1,0,2,0
496,Al-Ittihad Alexandria,Ahmed Adel,6.53,21,7,0,5,0,0,0,12,0
497,Al-Mokawloon,Youssef El Gohary,6.52,13,11,0,9,0,0,0,9,1
498,Modern Future FC,Hadji Barry,6.52,2,6,0,7,1,0,0,2,2
499,Ceramica Cleopatra,Mohamed Antar,6.52,22,3,0,7,0,0,0,13,1
500,Al-Masry,Ahmed Shadad,6.52,11,2,0,2,0,0,0,1,1
501,El Dakhlya,Mohamed Nosseir,6.52,7,3,0,1,0,0,0,1,0
502,El Dakhlya,Abdullahi Ojifinni,6.52,5,3,0,1,0,0,0,1,0
503,Al-Ittihad Alexandria,Ahmed Eid,6.52,22,2,0,3,0,0,0,5,0
504,Pharco FC,Ziad Tolba,6.52,0,1,0,1,0,0,0,0,0
505,Tala'ea El-Gaish,Marwan Osman,6.52,2,0,0,1,0,0,0,0,0
506,Haras El Hedoud,Gharib Yasser,6.52,10,3,1,9,0,0,0,1,0
507,National Bank of Egypt,Amir Medhat,6.51,8,8,1,20,0,0,0,6,0
508,El Dakhlya,Christopher John,6.51,6,5,0,7,0,0,0,3,1
509,Al Ahly FC,Mohamed Zaalouk,6.50,0,0,0,0,0,0,0,0,0
510,Ismaily,Eiad El Askalany,6.50,2,0,1,6,0,0,0,0,0
511,ENPPI,Alhassan Mubarak,6.50,0,0,0,1,0,0,0,1,0
512,Ghazl El Mahalla,Mohamed Nabih,6.50,0,2,0,1,0,0,0,0,0
513,Al-Ittihad Alexandria,Ahmed Hamdeen,6.50,0,0,0,0,0,0,0,1,0
514,Haras El Hedoud,Salisu Mobarak,6.50,0,1,0,0,0,0,0,0,0
515,Al-Mokawloon,Ahmed Rashwan,6.50,0,0,0,0,0,0,0,0,0
516,Haras El Hedoud,Ahmed Ali Kamel,6.50,0,0,0,1,0,0,0,0,0
517,Tala'ea El-Gaish,Akinade Moses Ibukun,6.50,3,0,0,0,0,0,0,2,0
518,Ghazl El Mahalla,Ibrahim Ayesh,6.50,4,1,0,2,0,0,0,8,0
519,El Dakhlya,Hesham Sabry,6.50,1,0,0,0,0,0,0,1,0
520,Al-Masry,Islam El Mizzayn,6.50,2,4,0,7,0,0,0,3,1
521,Ghazl El Mahalla,Hany Adel,6.50,2,4,0,4,0,0,0,2,0
522,Aswan SC,Abdul Aziz Mousa,6.50,4,2,0,2,0,0,0,4,0
523,Ghazl El Mahalla,Mostafa Osama,6.50,3,3,0,2,0,0,0,2,0
524,Haras El Hedoud,Momen Awad,6.50,6,9,0,20,0,0,0,0,3
525,El Dakhlya,Hussein Ragab,6.48,5,5,0,5,0,0,0,1,0
526,National Bank of Egypt,Moussa Diawara,6.48,5,1,0,0,1,0,0,0,0
527,Ghazl El Mahalla,Tarek Samy,6.48,1,3,1,2,0,0,0,0,0
528,Ismaily,Ahmed Mohsen,6.48,6,3,0,6,0,0,0,2,0
529,ENPPI,Ahmed Nader Hawash,6.47,5,2,0,0,0,0,0,3,0
530,Zamalek SC,Youssef Obama,6.47,1,0,0,3,0,0,0,0,0
531,Al Ahly FC,Rafaat Khalil,6.46,3,1,0,0,0,0,0,3,1
532,Tala'ea El-Gaish,Ashraf Magdy,6.46,0,1,0,1,0,0,0,1,0
533,Aswan SC,Ahmed Belya,6.45,3,3,0,6,0,0,0,2,0
534,Haras El Hedoud,Mahmoud Abou-Gouda,6.45,4,1,0,1,0,0,0,2,0
535,El Dakhlya,Fahd Gomaa,6.44,3,1,0,4,0,0,0,2,0
536,Zamalek SC,Abdallah Gomaa,6.43,5,2,0,3,0,0,0,1,0
537,Al-Masry,Anthony Okpotu,6.43,0,0,0,1,0,0,0,1,0
538,Al-Mokawloon,Mohamed Shawky Gharib,6.42,10,1,0,9,0,0,0,4,0
539,Aswan SC,Imad El Kabbou,6.40,0,1,0,0,0,0,0,0,0
540,Zamalek SC,Mohamad Salah Zaki,6.40,0,0,0,0,0,0,0,0,0
541,Ismaily,Ahmed Abdel Wahab,6.40,0,1,0,0,0,0,0,0,0
542,Smouha,Rida El Barjiji,6.40,1,0,0,0,0,0,0,1,0
543,Ceramica Cleopatra,Amer Mohamed,6.40,0,0,0,0,0,0,0,0,0
544,Al-Mokawloon,Ahmed Abo Egela,6.40,3,0,0,0,0,0,0,2,0
545,Al-Masry,Mohamed Fawzy Gad,6.40,2,0,0,7,0,0,0,1,0
546,Al-Mokawloon,Mohamed Abdelnasser,6.40,0,0,0,0,0,0,0,0,0
547,Pharco FC,Mohammad Fouad,6.40,1,1,0,0,0,0,0,0,0
548,Aswan SC,Bai Kamara,6.40,1,0,0,0,0,0,0,0,0
549,Haras El Hedoud,Ahmed Amer,6.40,2,0,0,1,0,0,0,0,0
550,Ismaily,AbouBakr El Gamal,6.40,0,0,0,0,0,0,0,0,0
551,El Dakhlya,Mahmoud Ezzat,6.40,1,1,0,2,0,0,0,0,0
552,Ceramica Cleopatra,Gabriel Chukwudi,6.40,2,0,0,0,0,0,0,2,0
553,Ismaily,Hamdi Nagguez,6.40,12,8,1,6,0,0,0,5,0
554,Zamalek SC,Zakaria El Wardi,6.37,3,0,0,0,0,0,0,2,0
555,National Bank of Egypt,Hossam El Saana,6.35,1,0,0,0,0,0,0,1,0
556,Pharco FC,Walid Farag,6.34,8,0,1,1,0,0,0,0,0
557,Al-Ittihad Alexandria,Mohamed Fares,6.34,7,6,1,5,0,0,0,13,1
558,Haras El Hedoud,Ahmed Kasem,6.33,2,3,0,2,0,0,0,1,0
559,Al-Ittihad Alexandria,Fawzi El Henawy,6.31,10,9,1,4,1,0,0,9,0
560,ENPPI,Dejan Meleg,6.30,0,0,0,0,0,0,0,1,0
561,Tala'ea El-Gaish,El Sayed Abou Amenah,6.30,0,0,0,0,0,0,0,0,0
562,Smouha,Ahmed Ali Amin,6.30,0,0,0,0,0,0,0,2,0
563,Ghazl El Mahalla,Sayed Shabrawy,6.28,4,5,0,5,0,0,0,7,2
564,Aswan SC,Mahmoud Salah,6.28,1,0,0,0,0,0,0,1,0
565,Pharco FC,Marwan Magdy,6.22,3,1,0,0,0,0,0,0,0
566,Modern Future FC,Hesham Hafez,6.20,1,1,1,3,0,0,0,1,0
567,Al-Ittihad Alexandria,Elsayed Salem,6.20,2,0,0,1,0,0,0,0,0
568,Al-Ittihad Alexandria,Ahmed Bahaa,5.82,6,6,0,6,0,0,0,10,0
569,National Bank of Egypt,Mahmoud El Zanfaly,5.80,1,0,0,0,0,0,0,1,0
570,Modern Future FC,Mostafa Ashraf,-,0,0,0,0,0,0,0,0,0
571,Aswan SC,Khaled Walid,-,0,0,0,0,0,0,0,0,0
572,Aswan SC,Islam Soliman,-,0,0,0,0,0,0,0,0,0
573,Pyramids FC,Youssef Shaaban,-,0,0,0,0,0,0,0,0,0
574,National Bank of Egypt,Khaled Mostafa,-,0,0,0,0,0,0,0,0,0
575,Modern Future FC,Mohamed Tarek,-,0,0,0,0,0,0,0,0,0
576,Pyramids FC,Mohamed Samy,-,0,0,0,0,0,0,0,0,0
577,Pyramids FC,Abdel Rahman Ayman,-,0,0,0,0,0,0,0,0,0
578,Pharco FC,Sabry Gad,-,0,0,0,0,0,0,0,0,0
579,Pyramids FC,Seif Ezzat,-,0,0,0,0,0,0,0,0,0
580,Tala'ea El-Gaish,Mohamed Ghazal,-,0,0,0,0,0,0,0,0,0
581,Ceramica Cleopatra,Eslam Risha,-,0,0,0,0,0,0,0,0,0
582,Pyramids FC,Mahmoud Gamal,-,0,0,0,0,0,0,0,0,0
583,National Bank of Egypt,Hossam Ashraf,-,0,0,0,0,0,0,0,0,0
584,National Bank of Egypt,Mohamed Hamed,-,0,1,0,0,0,0,0,0,0
585,Al-Masry,Mohamed El Zareef,-,0,1,0,0,0,0,0,0,0
586,Pharco FC,Ahmed Abdulaziz,-,0,0,0,0,0,0,0,0,0
587,Pyramids FC,Youssef Nader,-,0,0,0,0,0,0,0,0,1
588,Pharco FC,Hesham Fathallah,-,0,0,0,0,0,0,0,0,0
589,Aswan SC,Alaa Salama,-,1,0,0,0,0,0,0,0,0
590,El Dakhlya,Mustafa Abdelkader,-,0,0,0,0,0,0,0,0,0
591,Al-Mokawloon,Ademola Shobowale,-,0,0,0,0,0,0,0,0,0
592,Ismaily,Mohamed Wagdi,-,0,0,0,0,0,0,0,0,0
593,Aswan SC,Elhusseini Samir,-,0,0,0,0,0,0,0,1,0
594,Ceramica Cleopatra,Abdelrahman Hassan,-,0,0,0,0,0,0,0,0,0
595,Aswan SC,Gamal El Said,-,0,0,0,0,0,0,0,0,0
596,Aswan SC,Amin Mohamed Amin,-,0,0,0,0,0,0,0,0,0
597,El Dakhlya,Gamal Montasser,-,0,0,0,0,0,0,0,0,0
598,Modern Future FC,Bello Babatunde Martins,-,0,1,0,0,0,0,0,0,0
599,Pyramids FC,Ibrahim Sheta,-,0,0,0,0,0,0,0,0,0
600,Ghazl El Mahalla,Atef Al Hakim,-,0,0,0,0,0,0,0,0,0
601,Ghazl El Mahalla,Ahmad Algeaidy,-,0,0,0,0,0,0,0,0,0
