#,Team,Name,Average Sofascore rating,Big chances created,Assists,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Accurate final third passes,Key passes,Accurate crosses,Accurate crosses %,Acc. long balls,Accurate long balls %,Passes to assist
390,Al-Ittihad Alexandria,Austin Amutu,6.65,0,1,94,58,152,61.84,38,56,24,5,0,0.0,4,80.0,0
391,ENPPI,Mostafa Dowidar,6.65,0,1,228,93,321,71.03,86,144,70,7,2,11.11,22,50.0,0
392,Al-Masry,Amr El Morsi,6.65,0,0,4,2,6,66.67,1,3,2,0,0,0.0,0,0.0,0
393,ENPPI,Girgis Magdy,6.65,0,0,23,6,29,79.31,11,13,8,0,1,25.0,2,100.0,0
394,Al Ahly FC,Ahmed Ashraf Ahmed,6.65,0,0,53,22,75,70.67,26,29,12,3,2,66.67,5,38.46,0
395,National Bank of Egypt,Eslam Gaber,6.65,1,1,249,72,321,77.57,90,167,82,15,8,27.59,31,62.0,0
396,Al-Masry,Osama El Gazar,6.64,0,0,196,30,226,86.73,90,106,42,0,0,0.0,8,36.36,0
397,Ismaily,Mohamed El Shamy,6.64,1,1,435,203,638,68.18,123,314,180,25,2,6.67,12,37.5,0
398,Haras El Hedoud,Hamed Khaled El Gabry,6.64,0,0,321,146,467,68.74,148,178,88,6,5,13.16,23,34.85,0
399,Tala'ea El-Gaish,Ahmed Masoud,6.64,0,0,123,46,169,72.78,97,26,5,0,0,0.0,42,47.73,0
400,Al-Mokawloon,Mohamed Hozian,6.64,0,0,90,36,126,71.43,32,64,24,5,6,24.0,6,40.0,0
401,Zamalek SC,Samson Akinyoola,6.63,1,1,70,15,85,82.35,17,53,32,6,0,0.0,1,33.33,0
402,Smouha,Omar Salah,6.63,0,1,90,133,223,40.36,59,31,12,1,0,0.0,42,24.0,0
403,Al-Ittihad Alexandria,Gavin Kizito,6.63,0,0,64,17,81,79.01,28,40,15,3,4,28.57,2,33.33,0
404,Modern Future FC,Mohamed Abdelsalam,6.63,0,0,77,20,97,79.38,48,29,7,0,0,0.0,4,33.33,0
405,Smouha,El Sabahy Emad,6.63,0,0,29,31,60,48.33,13,16,7,0,0,0.0,2,16.67,0
406,Tala'ea El-Gaish,Mohamed Diab,6.63,0,0,165,45,210,78.57,119,46,11,0,0,0.0,21,56.76,0
407,Haras El Hedoud,Mohamed Ahmed Kamel,6.63,0,0,167,63,230,72.61,115,52,10,0,0,0.0,14,29.79,0
408,Smouha,Mohamed El-Maghrabi,6.63,0,0,225,88,313,71.88,143,85,39,2,3,23.08,15,28.85,0
409,El Dakhlya,Abdelaziz El Sayed,6.63,2,0,678,195,873,77.66,316,382,168,16,20,26.32,46,35.94,0
410,ENPPI,Mostafa Shakshak,6.63,1,0,448,148,596,75.17,200,255,110,13,7,25.93,51,52.58,0
411,Zamalek SC,Seif Farouk Gaafar,6.63,0,1,202,51,253,79.84,64,138,77,6,0,0.0,19,65.52,0
412,Haras El Hedoud,Mahmoud Mamdouh,6.63,0,0,131,56,187,70.05,40,94,57,9,3,25.0,10,55.56,0
413,National Bank of Egypt,Mohamed Bassiouny,6.63,0,0,320,103,423,75.65,199,131,51,4,10,35.71,25,35.71,0
414,Al-Masry,Ahmed El Sheikh,6.63,1,1,93,33,126,73.81,29,65,43,5,1,12.5,5,45.45,0
415,National Bank of Egypt,Basem Morsi,6.63,1,1,155,97,252,61.51,65,90,50,6,0,0.0,14,51.85,0
416,Ismaily,Essam Sobhy,6.62,1,0,350,192,542,64.58,156,203,79,8,9,20.93,34,28.1,0
417,Haras El Hedoud,Mostafa Gamal,6.62,2,1,835,249,1084,77.03,368,467,185,13,0,0.0,75,52.82,0
418,Al Ahly FC,Bruno Sávio,6.62,1,2,199,78,277,71.84,42,159,98,8,2,11.11,7,50.0,0
419,Smouha,Alia Sylla,6.62,0,0,38,28,66,57.58,10,28,16,3,0,0.0,1,50.0,0
420,Haras El Hedoud,Kingsley Fidelis Kuku,6.61,1,0,74,25,99,74.75,33,41,16,4,0,0.0,4,44.44,0
421,Ghazl El Mahalla,Khaled El Akhmimi,6.61,0,0,278,57,335,82.99,89,189,86,4,0,0.0,16,47.06,0
422,Haras El Hedoud,Emmanuel David,6.61,1,1,139,62,201,69.15,40,100,54,7,1,25.0,7,53.85,0
423,Ghazl El Mahalla,Ibrahim Kone,6.61,0,0,173,44,217,79.72,73,101,57,3,1,9.09,6,54.55,0
424,Ceramica Cleopatra,Salah Mohsen,6.61,1,1,111,60,171,64.91,26,85,45,8,0,0.0,3,42.86,0
425,Aswan SC,Gedo,6.60,0,2,191,93,284,67.25,69,123,74,11,1,7.69,6,40.0,0
426,Aswan SC,Ali Fathi,6.60,3,1,755,357,1112,67.9,361,409,214,20,15,18.07,69,33.01,0
427,Tala'ea El-Gaish,Paul Joules,6.60,0,0,44,31,75,58.67,14,30,19,1,0,0.0,2,66.67,0
428,Pharco FC,Gaber Kamel,6.60,0,0,260,116,376,69.15,160,104,33,5,4,10.53,20,34.48,0
429,National Bank of Egypt,Assem Salah,6.60,0,1,203,68,271,74.91,108,100,57,3,5,25.0,24,46.15,0
430,Smouha,Mohammed Rashid,6.60,0,0,5,0,5,100.0,4,1,0,0,0,0.0,0,0.0,0
431,Al Ahly FC,Motaz El Sayed,6.60,0,0,26,4,30,86.67,21,5,1,1,0,0.0,1,50.0,0
432,Ismaily,Khaled Alnabrisi,6.60,0,0,5,1,6,83.33,3,2,1,0,0,0.0,0,0.0,0
433,Al-Masry,Sherif Dabo,6.60,0,0,2,0,2,100.0,0,3,1,0,1,33.33,0,0.0,0
434,Ismaily,Abdoul Kader Coulibaly,6.60,0,0,3,0,3,100.0,2,1,0,0,0,0.0,0,0.0,0
435,Aswan SC,Saber El Shimi,6.60,0,0,2,1,3,66.67,2,0,0,0,0,0.0,1,100.0,0
436,El Dakhlya,Mahmoud El Gharabawy,6.60,0,0,5,11,16,31.25,1,4,0,0,0,0.0,5,31.25,0
437,El Dakhlya,Mahmoud Shedid Kenawi,6.60,0,0,14,6,20,70.0,6,8,2,0,0,0.0,1,25.0,0
438,ENPPI,Shemeles Bekele,6.60,0,0,8,9,17,47.06,3,6,1,1,1,100.0,0,0.0,0
439,Al-Mokawloon,El Habib Ahmed Hassan,6.60,0,0,7,0,7,100.0,2,5,2,1,0,0.0,1,100.0,0
440,Al-Ittihad Alexandria,Amr Khalil,6.60,0,0,27,25,52,51.92,23,4,3,0,0,0.0,12,32.43,0
441,Ismaily,Mohamed Benkhemassa,6.60,0,0,42,7,49,85.71,25,17,3,0,0,0.0,1,16.67,0
442,Zamalek SC,Ali Yasser,6.60,0,0,16,10,26,61.54,8,8,5,1,0,0.0,0,0.0,0
443,Pyramids FC,Ojo Tolulope,6.60,0,0,4,1,5,80.0,2,2,0,0,0,0.0,0,0.0,0
444,Ceramica Cleopatra,Arthur Justice,6.60,0,0,82,26,108,75.93,33,49,19,0,0,0.0,2,40.0,0
445,Pharco FC,Mahmoud Gehad,6.60,0,0,67,28,95,70.53,38,29,9,2,0,0.0,5,33.33,0
446,Haras El Hedoud,Medhat Fakousa,6.60,0,0,94,27,121,77.69,41,53,23,0,0,0.0,5,55.56,0
447,ENPPI,Salah Zayed,6.60,0,0,18,6,24,75.0,4,15,7,1,1,11.11,0,0.0,0
448,ENPPI,Eric Traore,6.60,0,0,143,58,201,71.14,58,85,37,5,0,0.0,2,33.33,0
449,Tala'ea El-Gaish,Ali Hamdy,6.60,0,0,293,135,428,68.46,140,156,67,8,3,27.27,47,46.08,0
450,Smouha,Ahmed Gamal,6.60,0,0,368,149,517,71.18,157,213,101,8,2,7.41,32,35.16,0
451,Ismaily,Mahmoud Shabrawy,6.59,0,0,113,48,161,70.19,31,83,52,2,1,10.0,5,45.45,0
452,El Dakhlya,Momen Atef,6.59,0,0,316,113,429,73.66,174,145,60,3,3,16.67,23,38.98,0
453,ENPPI,Abdel Rahman Emad,6.59,0,1,123,39,162,75.93,35,90,59,5,2,33.33,6,42.86,0
454,Pharco FC,Mahmoud Emad,6.59,2,0,224,53,277,80.87,116,109,33,5,1,25.0,5,26.32,0
455,Smouha,Mohamed Saeed,6.59,1,0,205,123,328,62.5,82,136,72,14,13,39.39,14,30.43,0
456,Ceramica Cleopatra,Mahmoud Zalaka,6.59,1,1,67,22,89,75.28,15,54,35,4,2,25.0,2,50.0,0
457,Smouha,Halimo,6.59,0,0,553,216,769,71.91,211,342,143,12,0,0.0,50,42.37,0
458,Ghazl El Mahalla,Paulin Voavy,6.59,1,1,110,34,144,76.39,35,77,43,4,2,28.57,4,66.67,0
459,Al Ahly FC,Mohamed Dhaoui,6.59,1,1,109,17,126,86.51,30,82,42,6,3,21.43,8,80.0,0
460,Haras El Hedoud,Ahmed El Saadani,6.59,0,0,108,114,222,48.65,76,32,7,0,0,0.0,50,30.67,0
461,National Bank of Egypt,Razak Cissé,6.59,2,1,182,65,247,73.68,58,125,73,7,1,7.14,10,66.67,0
462,El Dakhlya,Eric Serge,6.59,0,0,143,35,178,80.34,57,87,33,5,1,14.29,4,36.36,0
463,Smouha,Zeyad Tarek,6.58,1,0,45,18,63,71.43,12,36,16,4,3,33.33,2,40.0,0
464,Ghazl El Mahalla,Abdelrahman Atef,6.58,0,0,139,51,190,73.16,52,88,50,3,1,25.0,9,75.0,0
465,Pyramids FC,Abdallah Magdy,6.58,1,0,178,35,213,83.57,91,90,35,5,3,21.43,6,60.0,0
466,Al-Masry,Franck Mbella Etouga,6.58,0,0,116,40,156,74.36,45,72,33,5,1,33.33,3,37.5,0
467,National Bank of Egypt,Firas Ifia,6.58,0,0,47,12,59,79.66,7,41,22,1,1,12.5,3,37.5,0
468,Haras El Hedoud,Wagih Abdel Hakim,6.58,1,0,197,114,311,63.34,64,134,69,10,1,11.11,9,31.03,0
469,Smouha,Barakat Haggag,6.58,0,0,245,120,365,67.12,153,92,36,2,0,0.0,55,42.31,0
470,Zamalek SC,Youssef Hassan,6.58,0,0,22,11,33,66.67,8,14,9,1,0,0.0,2,100.0,0
471,Modern Future FC,Abdallah Yaisien,6.58,0,0,62,16,78,79.49,21,41,17,0,0,0.0,3,50.0,0
472,Haras El Hedoud,Ahmed Ayman,6.57,0,0,147,61,208,70.67,73,79,38,2,5,35.71,8,44.44,0
473,Modern Future FC,Mostafa El-Badry,6.57,2,0,169,49,218,77.52,70,104,52,9,5,26.32,7,46.67,0
474,Al-Masry,Islam Ateia,6.57,1,1,189,55,244,77.46,68,122,54,5,1,20.0,11,45.83,0
475,Tala'ea El-Gaish,Arabi Badr,6.57,0,0,70,21,91,76.92,32,38,15,1,0,0.0,6,42.86,0
476,Pyramids FC,Mohamed Sadek,6.57,1,0,158,33,191,82.72,51,107,58,3,0,0.0,7,63.64,0
477,Modern Future FC,Aymen Sfaxi,6.56,1,0,192,44,236,81.36,74,120,59,4,2,11.11,7,50.0,0
478,Ghazl El Mahalla,Mahmoud Alaa El Katamy,6.56,0,0,140,54,194,72.16,62,82,29,1,4,66.67,8,29.63,0
479,Smouha,Abubakar Liday,6.56,0,0,67,38,105,63.81,22,46,26,2,1,10.0,5,71.43,0
480,Ghazl El Mahalla,Karim Mostafa,6.56,0,1,230,92,322,71.43,84,148,89,9,2,11.76,10,47.62,0
481,Smouha,Ahmed Shousha,6.56,0,0,375,177,552,67.93,210,166,66,3,1,33.33,73,41.24,0
482,Smouha,Mohamed Nadi,6.55,0,1,154,76,230,66.96,44,113,59,9,3,21.43,8,44.44,0
483,Haras El Hedoud,Ahmed Dawooda,6.55,1,1,95,14,109,87.16,38,57,31,2,0,0.0,5,100.0,0
484,Aswan SC,Omar Saoudi,6.55,0,0,3,0,3,100.0,1,2,2,0,0,0.0,0,0.0,0
485,Tala'ea El-Gaish,Fares Hatem,6.55,0,0,7,7,14,50.0,5,2,1,0,0,0.0,0,0.0,0
486,Smouha,Momen Mohamed Abd Rabo,6.55,0,0,53,23,76,69.74,30,23,9,1,0,0.0,11,45.83,0
487,Smouha,Tariq Alaa,6.55,0,0,84,33,117,71.79,38,47,24,1,1,33.33,6,25.0,0
488,Aswan SC,Ahmed Hamoudi,6.55,0,0,99,38,137,72.26,32,68,41,4,1,7.69,6,33.33,0
489,Tala'ea El-Gaish,Mahmoud Wahid,6.54,0,0,78,30,108,72.22,38,42,19,3,2,18.18,3,20.0,0
490,Haras El Hedoud,Valentine Odoh,6.54,0,0,153,54,207,73.91,44,110,72,3,1,100.0,8,88.89,0
491,Al-Ittihad Alexandria,Abdelghani Mohamed,6.54,1,0,176,55,231,76.19,61,119,68,12,4,21.05,7,63.64,0
492,Ghazl El Mahalla,Charles Ekpenyong,6.54,0,0,66,40,106,62.26,17,50,31,3,1,20.0,3,42.86,0
493,El Dakhlya,Karim Yehia,6.53,1,0,178,115,293,60.75,83,101,40,3,6,37.5,18,24.66,0
494,Aswan SC,Islam Gamal,6.53,0,0,114,49,163,69.94,76,38,14,2,0,0.0,9,26.47,0
495,ENPPI,Momen Rady,6.53,0,0,116,27,143,81.12,50,66,24,0,0,0.0,8,61.54,0
496,Al-Ittihad Alexandria,Ahmed Adel,6.53,3,3,454,145,599,75.79,129,332,186,24,7,13.46,24,52.17,0
497,Al-Mokawloon,Youssef El Gohary,6.52,0,0,163,76,239,68.2,67,98,56,2,2,11.76,10,41.67,0
498,Modern Future FC,Hadji Barry,6.52,1,1,200,39,239,83.68,74,128,65,10,2,40.0,6,66.67,0
499,Ceramica Cleopatra,Mohamed Antar,6.52,1,1,339,105,444,76.35,86,263,152,21,10,27.78,20,54.05,0
500,Al-Masry,Ahmed Shadad,6.52,0,0,58,16,74,78.38,28,32,9,1,2,66.67,4,50.0,0
501,El Dakhlya,Mohamed Nosseir,6.52,1,0,102,41,143,71.33,63,39,19,2,0,0.0,10,47.62,0
502,El Dakhlya,Abdullahi Ojifinni,6.52,0,0,48,23,71,67.61,18,30,18,0,0,0.0,1,16.67,0
503,Al-Ittihad Alexandria,Ahmed Eid,6.52,0,0,157,50,207,75.85,57,102,62,6,2,10.0,7,46.67,0
504,Pharco FC,Ziad Tolba,6.52,0,0,15,9,24,62.5,6,9,5,0,0,0.0,0,0.0,0
505,Tala'ea El-Gaish,Marwan Osman,6.52,0,0,36,12,48,75.0,6,30,22,2,0,0.0,2,100.0,0
506,Haras El Hedoud,Gharib Yasser,6.52,0,0,127,34,161,78.88,80,47,15,5,0,0.0,9,69.23,0
507,National Bank of Egypt,Amir Medhat,6.51,0,0,235,67,302,77.81,175,60,11,3,0,0.0,22,37.29,0
508,El Dakhlya,Christopher John,6.51,1,0,251,92,343,73.18,81,180,86,12,10,22.73,6,35.29,0
509,Al Ahly FC,Mohamed Zaalouk,6.50,0,0,2,0,2,100.0,0,2,2,0,0,0.0,0,0.0,0
510,Ismaily,Eiad El Askalany,6.50,0,0,24,5,29,82.76,20,4,2,0,0,0.0,3,42.86,0
511,ENPPI,Alhassan Mubarak,6.50,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
512,Ghazl El Mahalla,Mohamed Nabih,6.50,0,0,33,1,34,97.06,27,6,1,0,0,0.0,2,100.0,0
513,Al-Ittihad Alexandria,Ahmed Hamdeen,6.50,0,0,7,0,7,100.0,0,7,5,0,0,0.0,0,0.0,0
514,Haras El Hedoud,Salisu Mobarak,6.50,0,0,3,2,5,60.0,1,2,1,0,0,0.0,0,0.0,0
515,Al-Mokawloon,Ahmed Rashwan,6.50,0,0,2,1,3,66.67,0,2,1,1,0,0.0,0,0.0,0
516,Haras El Hedoud,Ahmed Ali Kamel,6.50,0,0,4,6,10,40.0,3,1,1,0,0,0.0,0,0.0,0
517,Tala'ea El-Gaish,Akinade Moses Ibukun,6.50,0,0,18,9,27,66.67,8,10,3,1,0,0.0,1,50.0,0
518,Ghazl El Mahalla,Ibrahim Ayesh,6.50,0,0,61,24,85,71.76,34,28,13,1,1,50.0,13,61.9,0
519,El Dakhlya,Hesham Sabry,6.50,0,0,18,4,22,81.82,7,11,6,0,0,0.0,2,100.0,0
520,Al-Masry,Islam El Mizzayn,6.50,1,0,31,26,57,54.39,13,18,7,1,0,0.0,5,26.32,0
521,Ghazl El Mahalla,Hany Adel,6.50,0,0,58,20,78,74.36,34,26,13,2,2,40.0,6,50.0,0
522,Aswan SC,Abdul Aziz Mousa,6.50,0,0,43,13,56,76.79,25,19,9,1,1,100.0,4,44.44,0
523,Ghazl El Mahalla,Mostafa Osama,6.50,0,0,58,14,72,80.56,24,34,9,3,0,0.0,3,37.5,0
524,Haras El Hedoud,Momen Awad,6.50,0,0,176,79,255,69.02,96,85,45,4,5,20.0,20,34.48,0
525,El Dakhlya,Hussein Ragab,6.48,0,0,111,63,174,63.79,52,62,29,3,3,33.33,6,35.29,0
526,National Bank of Egypt,Moussa Diawara,6.48,1,0,68,30,98,69.39,25,45,27,2,2,20.0,6,54.55,0
527,Ghazl El Mahalla,Tarek Samy,6.48,0,0,43,21,64,67.19,22,21,7,1,0,0.0,6,46.15,0
528,Ismaily,Ahmed Mohsen,6.48,0,0,118,28,146,80.82,52,67,35,2,1,7.14,7,36.84,0
529,ENPPI,Ahmed Nader Hawash,6.47,1,1,85,30,115,73.91,38,48,24,5,1,16.67,2,22.22,0
530,Zamalek SC,Youssef Obama,6.47,0,0,40,10,50,80.0,9,32,14,1,1,50.0,0,0.0,0
531,Al Ahly FC,Rafaat Khalil,6.46,0,0,47,18,65,72.31,16,31,13,1,0,0.0,1,33.33,0
532,Tala'ea El-Gaish,Ashraf Magdy,6.46,0,0,26,5,31,83.87,5,21,13,0,0,0.0,2,100.0,0
533,Aswan SC,Ahmed Belya,6.45,0,0,13,12,25,52.0,11,2,1,0,0,0.0,1,14.29,0
534,Haras El Hedoud,Mahmoud Abou-Gouda,6.45,0,0,51,27,78,65.38,19,32,14,1,0,0.0,1,25.0,0
535,El Dakhlya,Fahd Gomaa,6.44,0,0,41,14,55,74.55,13,28,17,4,0,0.0,2,66.67,0
536,Zamalek SC,Abdallah Gomaa,6.43,0,0,75,25,100,75.0,36,39,22,1,0,0.0,6,54.55,0
537,Al-Masry,Anthony Okpotu,6.43,1,1,21,10,31,67.74,8,13,5,1,0,0.0,0,0.0,0
538,Al-Mokawloon,Mohamed Shawky Gharib,6.42,0,0,56,38,94,59.57,24,33,14,2,1,9.09,6,21.43,0
539,Aswan SC,Imad El Kabbou,6.40,0,0,9,3,12,75.0,3,6,2,0,0,0.0,0,0.0,0
540,Zamalek SC,Mohamad Salah Zaki,6.40,0,0,14,0,14,100.0,1,13,10,0,0,0.0,0,0.0,0
541,Ismaily,Ahmed Abdel Wahab,6.40,0,0,8,4,12,66.67,3,6,1,0,1,33.33,0,0.0,0
542,Smouha,Rida El Barjiji,6.40,0,0,10,5,15,66.67,2,8,1,0,0,0.0,0,0.0,0
543,Ceramica Cleopatra,Amer Mohamed,6.40,0,0,22,14,36,61.11,21,1,0,0,0,0.0,8,36.36,0
544,Al-Mokawloon,Ahmed Abo Egela,6.40,0,0,11,9,20,55.0,6,5,2,0,0,0.0,2,50.0,0
545,Al-Masry,Mohamed Fawzy Gad,6.40,0,0,18,12,30,60.0,9,9,5,0,0,0.0,0,0.0,0
546,Al-Mokawloon,Mohamed Abdelnasser,6.40,0,0,1,1,2,50.0,0,1,0,0,0,0.0,0,0.0,0
547,Pharco FC,Mohammad Fouad,6.40,0,0,26,6,32,81.25,9,17,6,1,0,0.0,2,50.0,0
548,Aswan SC,Bai Kamara,6.40,0,0,12,6,18,66.67,3,10,3,0,1,50.0,0,0.0,0
549,Haras El Hedoud,Ahmed Amer,6.40,0,0,23,13,36,63.89,11,12,9,0,0,0.0,1,20.0,0
550,Ismaily,AbouBakr El Gamal,6.40,0,0,4,2,6,66.67,1,3,2,1,0,0.0,0,0.0,0
551,El Dakhlya,Mahmoud Ezzat,6.40,0,0,0,4,4,0.0,0,0,0,0,0,0.0,0,0.0,0
552,Ceramica Cleopatra,Gabriel Chukwudi,6.40,0,0,13,10,23,56.52,1,12,7,0,0,0.0,3,100.0,0
553,Ismaily,Hamdi Nagguez,6.40,0,0,152,56,208,73.08,81,77,32,4,6,27.27,10,34.48,0
554,Zamalek SC,Zakaria El Wardi,6.37,0,0,36,7,43,83.72,16,20,12,2,0,0.0,2,66.67,0
555,National Bank of Egypt,Hossam El Saana,6.35,0,0,18,5,23,78.26,11,7,2,0,0,0.0,3,75.0,0
556,Pharco FC,Walid Farag,6.34,0,0,68,20,88,77.27,21,47,27,2,0,0.0,2,33.33,0
557,Al-Ittihad Alexandria,Mohamed Fares,6.34,0,0,149,45,194,76.8,73,77,36,1,1,9.09,9,45.0,0
558,Haras El Hedoud,Ahmed Kasem,6.33,0,0,19,7,26,73.08,8,11,6,0,0,0.0,1,33.33,0
559,Al-Ittihad Alexandria,Fawzi El Henawy,6.31,0,0,114,42,156,73.08,58,58,29,2,2,25.0,4,25.0,0
560,ENPPI,Dejan Meleg,6.30,0,0,4,5,9,44.44,2,2,1,0,0,0.0,0,0.0,0
561,Tala'ea El-Gaish,El Sayed Abou Amenah,6.30,0,0,22,5,27,81.48,14,8,3,0,0,0.0,0,0.0,0
562,Smouha,Ahmed Ali Amin,6.30,0,0,3,1,4,75.0,2,1,0,0,0,0.0,0,0.0,0
563,Ghazl El Mahalla,Sayed Shabrawy,6.28,0,0,142,48,190,74.74,94,51,26,2,3,37.5,10,34.48,0
564,Aswan SC,Mahmoud Salah,6.28,1,0,31,14,45,68.89,8,23,14,1,0,0.0,1,33.33,0
565,Pharco FC,Marwan Magdy,6.22,0,0,15,3,18,83.33,5,10,3,0,0,0.0,1,100.0,0
566,Modern Future FC,Hesham Hafez,6.20,0,0,28,7,35,80.0,15,13,3,0,0,0.0,2,40.0,0
567,Al-Ittihad Alexandria,Elsayed Salem,6.20,0,0,64,23,87,73.56,33,31,12,1,0,0.0,2,20.0,0
568,Al-Ittihad Alexandria,Ahmed Bahaa,5.82,0,0,110,21,131,83.97,53,58,24,2,1,33.33,4,30.77,0
569,National Bank of Egypt,Mahmoud El Zanfaly,5.80,0,0,4,0,4,100.0,1,3,2,0,0,0.0,4,100.0,0
570,Modern Future FC,Mostafa Ashraf,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
571,Aswan SC,Khaled Walid,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
572,Aswan SC,Islam Soliman,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
573,Pyramids FC,Youssef Shaaban,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
574,National Bank of Egypt,Khaled Mostafa,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
575,Modern Future FC,Mohamed Tarek,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
576,Pyramids FC,Mohamed Samy,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
577,Pyramids FC,Abdel Rahman Ayman,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
578,Pharco FC,Sabry Gad,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
579,Pyramids FC,Seif Ezzat,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
580,Tala'ea El-Gaish,Mohamed Ghazal,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
581,Ceramica Cleopatra,Eslam Risha,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
582,Pyramids FC,Mahmoud Gamal,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
583,National Bank of Egypt,Hossam Ashraf,-,0,0,1,2,3,33.33,0,1,0,0,0,0.0,0,0.0,0
584,National Bank of Egypt,Mohamed Hamed,-,0,0,1,1,2,50.0,0,1,0,0,0,0.0,0,0.0,0
585,Al-Masry,Mohamed El Zareef,-,0,0,1,1,2,50.0,0,1,1,0,0,0.0,0,0.0,0
586,Pharco FC,Ahmed Abdulaziz,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
587,Pyramids FC,Youssef Nader,-,0,0,2,0,2,100.0,2,0,0,0,0,0.0,1,100.0,0
588,Pharco FC,Hesham Fathallah,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
589,Aswan SC,Alaa Salama,-,0,0,6,0,6,100.0,0,6,3,0,0,0.0,0,0.0,0
590,El Dakhlya,Mustafa Abdelkader,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
591,Al-Mokawloon,Ademola Shobowale,-,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0
592,Ismaily,Mohamed Wagdi,-,0,0,2,1,3,66.67,1,1,1,0,0,0.0,0,0.0,0
593,Aswan SC,Elhusseini Samir,-,0,0,5,1,6,83.33,2,3,1,0,0,0.0,2,66.67,0
594,Ceramica Cleopatra,Abdelrahman Hassan,-,0,0,4,0,4,100.0,0,4,3,0,0,0.0,0,0.0,0
595,Aswan SC,Gamal El Said,-,0,0,1,0,1,100.0,0,1,1,1,0,0.0,0,0.0,0
596,Aswan SC,Amin Mohamed Amin,-,0,0,1,0,1,100.0,1,0,0,0,0,0.0,0,0.0,0
597,El Dakhlya,Gamal Montasser,-,0,0,1,0,1,100.0,0,1,1,0,0,0.0,0,0.0,0
598,Modern Future FC,Bello Babatunde Martins,-,0,0,2,1,3,66.67,1,1,0,0,0,0.0,0,0.0,0
599,Pyramids FC,Ibrahim Sheta,-,0,0,1,0,1,100.0,1,0,0,0,0,0.0,0,0.0,0
600,Ghazl El Mahalla,Atef Al Hakim,-,0,0,2,0,2,100.0,0,2,2,1,0,0.0,0,0.0,0
601,Ghazl El Mahalla,Ahmad Algeaidy,-,0,0,9,0,9,100.0,1,8,5,0,0,0.0,0,0.0,0
